"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.0005,1173
0.001,1173
0.0015,1173.00000000001
0.002,1173.00000000003
0.0025,1173.00000000007
0.003,1173.00000000012
0.0035,1173.00000000015
0.004,1173.00000000005
0.0045,1172.99999999967
0.005,1172.99999999874
0.0055,1172.999999997
0.006,1172.99999999425
0.0065,1172.99999999051
0.007,1172.99999998639
0.0075,1172.9999999834
0.008,1172.99999998455
0.0085,1172.99999999501
0.009,1173.00000002295
0.00950000000000001,1173.00000008053
0.01,1173.000000185
0.0105,1173.00000036001
0.011,1173.00000063693
0.0115,1173.00000105636
0.012,1173.00000166966
0.0125,1173.0000025406
0.013,1173.00000374693
0.0135,1173.00000538205
0.014,1173.00000755663
0.0145,1173.00001040013
0.015,1173.00001406232
0.0155,1173.00001871462
0.016,1173.00002455141
0.0165,1173.00003179115
0.017,1173.00004067732
0.0175,1173.00005147929
0.018,1173.00006449289
0.0185,1173.00008004094
0.019,1173.00009847347
0.0195,1173.00012016782
0.02,1173.00014552852
0.0205,1173.00017498702
0.021,1173.00020900121
0.0215,1173.00024805478
0.022,1173.00029265642
0.0225,1173.00034333885
0.023,1173.00040065771
0.0235,1173.00046519035
0.024,1173.0005375352
0.0245,1173.0006183075
0.025,1173.00070814154
0.0255,1173.00080768699
0.026,1173.00091760746
0.0265,1173.00103857877
0.027,1173.0011712872
0.0275,1173.00131642765
0.028,1173.00147470185
0.0285,1173.00164681646
0.029,1173.00183348131
0.0295,1173.00203540751
0.03,1173.00225330573
0.0305,1173.00248788441
0.031,1173.00273984805
0.0315,1173.00300989557
0.032,1173.00329871868
0.0325,1173.00360700034
0.033,1173.00393541329
0.0335,1173.00428461865
0.034,1173.00465526455
0.0345,1173.0050479849
0.035,1173.0054633982
0.0355,1173.00590210642
0.036,1173.00636469401
0.0365,1173.00685172693
0.037,1173.00736375179
0.0375,1173.0079012951
0.038,1173.00846486253
0.0385,1173.00905493828
0.039,1173.00967198459
0.0395,1173.01031644121
0.04,1173.01098872503
0.0405,1173.01168922972
0.041,1173.01241832552
0.0415,1173.013176359
0.042,1173.01396365294
0.0425,1173.01478050625
0.043,1173.01562719397
0.0435,1173.01650396732
0.044,1173.01741105374
0.0445,1173.01834865708
0.045,1173.01931695775
0.0455,1173.02031611295
0.046,1173.02134625697
0.0465,1173.02240750144
0.047,1173.0234999357
0.0475,1173.02462362715
0.048,1173.02577862167
0.0485,1173.026964944
0.049,1173.02818259822
0.0495,1173.02943156821
0.05,1173.03071181813
0.0505,1173.03202329289
0.051,1173.03336591871
0.0515,1173.03473960365
0.052,1173.0361442381
0.0525,1173.03757969536
0.053,1173.03904583217
0.0535,1173.0405424893
0.054,1173.0420694921
0.0545,1173.04362665102
0.055,1173.04521376223
0.0555,1173.04683060816
0.056,1173.04847695805
0.0565,1173.05015256853
0.057,1173.05185718415
0.0575,1173.05359053795
0.058,1173.05535235199
0.0585,1173.0571423379
0.059,1173.05896019739
0.0595,1173.06080562278
0.06,1173.06267829752
0.0605,1173.0645778967
0.061,1173.06650408752
0.0615,1173.06845652978
0.062,1173.0704348764
0.0625,1173.0724387738
0.063,1173.07446786243
0.0635,1173.07652177719
0.064,1173.07860014782
0.0645,1173.08070259938
0.065,1173.08282875262
0.0655,1173.08497822439
0.066,1173.08715062801
0.0665,1173.08934557367
0.067,1173.09156266877
0.0675,1173.09380151828
0.068,1173.09606172507
0.0685,1173.09834289023
0.069,1173.10064461342
0.0695,1173.10296649313
0.07,1173.10530812702
0.0705,1173.10766911216
0.071,1173.1100490453
0.0715000000000001,1173.1124475232
0.0720000000000001,1173.11486414278
0.0725000000000001,1173.11729850144
0.0730000000000001,1173.11975019725
0.0735000000000001,1173.12221882918
0.0740000000000001,1173.12470399733
0.0745000000000001,1173.12720530308
0.0750000000000001,1173.12972234934
0.0755000000000001,1173.1322547407
0.0760000000000001,1173.13480208362
0.0765000000000001,1173.13736398658
0.0770000000000001,1173.13994006024
0.0775000000000001,1173.1425299176
0.0780000000000001,1173.14513317415
0.0785000000000001,1173.14774944796
0.0790000000000001,1173.15037835986
0.0795000000000001,1173.15301953353
0.0800000000000001,1173.15567259561
0.0805000000000001,1173.15833717582
0.0810000000000001,1173.16101290703
0.0815000000000001,1173.16369942541
0.0820000000000001,1173.16639637045
0.0825000000000001,1173.16910338507
0.0830000000000001,1173.17182011571
0.0835000000000001,1173.17454621237
0.0840000000000001,1173.1772813287
0.0845000000000001,1173.18002512202
0.0850000000000001,1173.18277725343
0.0855000000000001,1173.18553738781
0.0860000000000001,1173.18830519387
0.0865000000000001,1173.19108034423
0.0870000000000001,1173.19386251541
0.0875000000000001,1173.19665138788
0.0880000000000001,1173.19944664608
0.0885000000000001,1173.20224797846
0.0890000000000001,1173.2050550775
0.0895000000000001,1173.20786763968
0.0900000000000001,1173.21068536557
0.0905000000000001,1173.21350795979
0.0910000000000001,1173.21633513102
0.0915000000000001,1173.21916659201
0.0920000000000001,1173.22200205959
0.0925000000000001,1173.22484125468
0.0930000000000001,1173.22768390225
0.0935000000000001,1173.23052973134
0.0940000000000001,1173.23337847505
0.0945000000000001,1173.23622987052
0.0950000000000001,1173.23908365894
0.0955000000000001,1173.24193958549
0.0960000000000001,1173.2447973994
0.0965000000000001,1173.24765685384
0.0970000000000001,1173.25051770599
0.0975000000000001,1173.25337971694
0.0980000000000001,1173.25624265173
0.0985000000000001,1173.25910627929
0.0990000000000001,1173.26197037244
0.0995000000000001,1173.26483470782
0.1,1173.26769906593
0.1005,1173.27056323104
0.101,1173.27342699118
0.1015,1173.27629013815
0.102,1173.27915246741
0.1025,1173.28201377812
0.103,1173.28487387307
0.1035,1173.28773255866
0.104,1173.29058964485
0.1045,1173.29344494516
0.105,1173.29629827657
0.1055,1173.29914945958
0.106,1173.30199831808
0.1065,1173.30484467937
0.107,1173.30768837411
0.1075,1173.31052923626
0.108,1173.31336710309
0.1085,1173.31620181509
0.109,1173.31903321598
0.1095,1173.32186115264
0.11,1173.32468547506
0.1105,1173.32750603636
0.111,1173.33032269269
0.1115,1173.33313530323
0.112,1173.33594373012
0.1125,1173.33874783845
0.113,1173.34154749623
0.1135,1173.3443425743
0.114,1173.34713294634
0.1145,1173.34991848882
0.115,1173.35269908097
0.1155,1173.3554746047
0.116,1173.35824494461
0.1165,1173.36100998796
0.117,1173.36376962456
0.1175,1173.36652374682
0.118,1173.36927224967
0.1185,1173.3720150305
0.119,1173.37475198919
0.1195,1173.37748302801
0.12,1173.38020805161
0.1205,1173.382926967
0.121,1173.38563968349
0.1215,1173.38834611265
0.122,1173.39104616831
0.1225,1173.39373976648
0.123,1173.39642682536
0.1235,1173.39910726529
0.124,1173.40178100867
0.1245,1173.40444798003
0.125,1173.40710810588
0.1255,1173.40976131476
0.126,1173.41240753719
0.1265,1173.4150467056
0.127,1173.41767875435
0.1275,1173.42030361965
0.128,1173.4229212396
0.1285,1173.42553155406
0.129,1173.42813450472
0.1295,1173.43073003498
0.13,1173.43331809001
0.1305,1173.43589861663
0.131,1173.43847156336
0.1315,1173.44103688035
0.132,1173.44359451934
0.1325,1173.44614443367
0.133,1173.44868657824
0.1335,1173.45122090946
0.134,1173.45374738525
0.1345,1173.45626596499
0.135,1173.45877660952
0.1355,1173.46127928111
0.136,1173.46377394342
0.1365,1173.46626056146
0.137,1173.46873910161
0.1375,1173.47120953158
0.138,1173.47367182036
0.1385,1173.47612593821
0.139,1173.47857185665
0.1395,1173.48100954845
0.14,1173.48343898755
0.1405,1173.48586014909
0.141,1173.48827300937
0.1415,1173.49067754584
0.142,1173.49307334448
0.1425,1173.49546079905
0.143,1173.49783991479
0.1435,1173.50021066655
0.144,1173.50257302797
0.1445,1173.50492697589
0.145,1173.50727249027
0.1455,1173.50960955356
0.146,1173.51193815011
0.1465,1173.51425826588
0.147,1173.51656988815
0.1475,1173.5188730054
0.148,1173.52116760721
0.1485,1173.52345368415
0.149,1173.52573122778
0.1495,1173.52800023055
0.15,1173.53026068581
0.1505,1173.53251258774
0.151,1173.53475593139
0.1515,1173.53699071256
0.152,1173.53921692789
0.1525,1173.54143457475
0.153,1173.54364365125
0.1535,1173.54584415625
0.154,1173.54803608931
0.1545,1173.55021945068
0.155,1173.55239424129
0.1555,1173.55456046274
0.156,1173.55671811725
0.1565,1173.55886720771
0.157,1173.56100773761
0.1575,1173.56313971102
0.158,1173.56526313264
0.1585,1173.56737800772
0.159,1173.56948434209
0.1595,1173.57158214211
0.16,1173.57367141471
0.1605,1173.5757521673
0.161,1173.57782440786
0.1615,1173.57988814482
0.162,1173.58194338714
0.1625,1173.58399014423
0.163,1173.58602842598
0.1635,1173.58805824275
0.164,1173.59007960532
0.1645,1173.59209252493
0.165,1173.59409701323
0.1655,1173.59609308229
0.166,1173.5980807446
0.1665,1173.60006001302
0.167,1173.60203090082
0.1675,1173.60399342164
0.168,1173.60594758947
0.1685,1173.60789341869
0.169,1173.609830924
0.1695,1173.61176012047
0.17,1173.61368102349
0.1705,1173.61559364876
0.171,1173.61749801231
0.1715,1173.6193941305
0.172,1173.62128201995
0.1725,1173.6231616976
0.173,1173.62503318066
0.1735,1173.62689648662
0.174,1173.62875163326
0.1745,1173.63059863859
0.175,1173.63243752091
0.1755,1173.63426829873
0.176,1173.63609099084
0.1765,1173.63790561624
0.177,1173.63971219418
0.1775,1173.64151074411
0.178,1173.6433012857
0.1785,1173.64508383885
0.179,1173.64685842365
0.1795,1173.64862506037
0.18,1173.65038376951
0.1805,1173.65213457173
0.181,1173.65387748786
0.1815,1173.65561253894
0.182,1173.65733974616
0.1825,1173.65905913086
0.183,1173.66077071456
0.1835,1173.66247451893
0.184,1173.66417056579
0.1845,1173.66585887709
0.185,1173.66753947493
0.1855,1173.66921238154
0.186,1173.67087761929
0.1865,1173.67253521067
0.187,1173.67418517828
0.1875,1173.67582754485
0.188,1173.67746233321
0.1885,1173.6790895663
0.189,1173.68070926717
0.1895,1173.68232145897
0.19,1173.68392616494
0.1905,1173.68552340841
0.191,1173.68711321279
0.1915,1173.68869560161
0.192,1173.69027059842
0.1925,1173.69183822691
0.193,1173.6933985108
0.1935,1173.69495147389
0.194,1173.69649714006
0.1945,1173.69803553323
0.195,1173.6995666774
0.1955,1173.70109059662
0.196,1173.70260731498
0.1965,1173.70411685664
0.197,1173.70561924579
0.1975,1173.70711450668
0.198,1173.7086026636
0.1985,1173.71008374086
0.199,1173.71155776281
0.1995,1173.71302475387
0.2,1173.71448473843
0.2005,1173.71593774096
0.201,1173.71738378593
0.2015,1173.71882289783
0.202,1173.72025510118
0.2025,1173.72168042051
0.203,1173.72309888039
0.2035,1173.72451050536
0.204,1173.72591532
0.2045,1173.72731334891
0.205,1173.72870461666
0.2055,1173.73008914785
0.206,1173.73146696708
0.2065,1173.73283809895
0.207,1173.73420256806
0.2075,1173.73556039898
0.208,1173.73691161632
0.2085,1173.73825624466
0.209,1173.73959430855
0.2095,1173.74092583257
0.21,1173.74225084126
0.2105,1173.74356935916
0.211,1173.74488141078
0.2115,1173.74618702063
0.212,1173.74748621318
0.2125,1173.7487790129
0.213,1173.75006544422
0.2135,1173.75134553157
0.214,1173.75261929933
0.2145,1173.75388677187
0.215,1173.75514797352
0.2155,1173.75640292859
0.216,1173.75765166137
0.2165,1173.75889419608
0.217,1173.76013055696
0.2175,1173.76136076817
0.218,1173.76258485387
0.2185,1173.76380283815
0.219,1173.76501474509
0.2195,1173.76622059872
0.22,1173.76742042302
0.2205,1173.76861424197
0.221,1173.76980207945
0.2215,1173.77098395933
0.222,1173.77215990545
0.2225,1173.77332994157
0.223,1173.77449409143
0.2235,1173.77565237871
0.224,1173.77680482705
0.2245,1173.77795146005
0.225,1173.77909230124
0.2255,1173.78022737411
0.226,1173.78135670211
0.2265,1173.78248030862
0.227,1173.78359821698
0.2275,1173.78471045047
0.228,1173.78581703232
0.2285,1173.78691798572
0.229,1173.78801333377
0.2295,1173.78910309955
0.23,1173.79018730607
0.2305,1173.79126597627
0.231,1173.79233913306
0.2315,1173.79340679926
0.232,1173.79446899766
0.2325,1173.79552575098
0.233,1173.79657708187
0.2335,1173.79762301294
0.234,1173.79866356672
0.2345,1173.79969876569
0.235,1173.80072863227
0.2355,1173.80175318881
0.236,1173.8027724576
0.2365,1173.80378646088
0.237,1173.8047952208
0.2375,1173.80579875947
0.238,1173.80679709893
0.2385,1173.80779026115
0.239,1173.80877826804
0.2395,1173.80976114144
0.24,1173.81073890313
0.2405,1173.81171157483
0.241,1173.81267917817
0.2415,1173.81364173474
0.242,1173.81459926606
0.2425,1173.81555179357
0.243,1173.81649933865
0.2435,1173.81744192261
0.244,1173.8183795667
0.2445,1173.81931229209
0.245,1173.8202401199
0.2455,1173.82116307116
0.246,1173.82208116684
0.2465,1173.82299442786
0.247,1173.82390287504
0.2475,1173.82480652915
0.248,1173.82570541089
0.2485,1173.82659954089
0.249,1173.8274889397
0.2495,1173.82837362781
0.25,1173.82925362565
0.2505,1173.83012895356
0.251,1173.83099963183
0.2515,1173.83186568065
0.252,1173.83272712018
0.2525,1173.83358397049
0.253,1173.83443625156
0.2535,1173.83528398334
0.254,1173.83612718568
0.2545,1173.83696587837
0.255,1173.83780008113
0.2555,1173.8386298136
0.256,1173.83945509538
0.2565,1173.84027594595
0.257,1173.84109238477
0.2575,1173.84190443119
0.258,1173.84271210451
0.2585,1173.84351542396
0.259,1173.84431440869
0.2595,1173.84510907779
0.26,1173.84589945027
0.2605,1173.84668554507
0.261,1173.84746738107
0.2615,1173.84824497707
0.262,1173.8490183518
0.2625,1173.84978752393
0.263,1173.85055251204
0.2635,1173.85131333466
0.264,1173.85207001023
0.2645,1173.85282255715
0.265,1173.85357099371
0.2655,1173.85431533816
0.266,1173.85505560868
0.2665,1173.85579182337
0.267,1173.85652400024
0.2675,1173.85725215728
0.268,1173.85797631236
0.2685,1173.85869648332
0.269,1173.8594126879
0.2695,1173.86012494379
0.27,1173.86083326861
0.2705,1173.8615376799
0.271,1173.86223819513
0.2715,1173.86293483172
0.272,1173.86362760701
0.2725,1173.86431653826
0.273,1173.86500164268
0.2735,1173.86568293739
0.274,1173.86636043948
0.2745,1173.86703416592
0.275,1173.86770413366
0.2755,1173.86837035956
0.276,1173.86903286039
0.2765,1173.86969165291
0.277,1173.87034675375
0.2775,1173.87099817951
0.278,1173.87164594672
0.2785,1173.87229007184
0.279,1173.87293057124
0.2795,1173.87356746127
0.28,1173.87420075816
0.2805,1173.87483047812
0.281,1173.87545663726
0.2815,1173.87607925165
0.282,1173.87669833727
0.2825,1173.87731391005
0.283,1173.87792598586
0.2835,1173.87853458049
0.284,1173.87913970966
0.2845,1173.87974138905
0.285,1173.88033963424
0.2855,1173.88093446078
0.286,1173.88152588415
0.2865,1173.88211391973
0.287,1173.88269858287
0.2875,1173.88327988886
0.288,1173.8838578529
0.2885,1173.88443249015
0.289,1173.88500381568
0.2895,1173.88557184454
0.29,1173.88613659166
0.2905,1173.88669807196
0.291,1173.88725630027
0.2915,1173.88781129134
0.292,1173.88836305991
0.2925,1173.88891162061
0.293,1173.88945698802
0.2935,1173.88999917668
0.294,1173.89053820104
0.2945,1173.89107407549
0.295,1173.89160681439
0.2955,1173.89213643201
0.296,1173.89266294256
0.2965,1173.8931863602
0.297,1173.89370669903
0.2975,1173.89422397307
0.298,1173.89473819631
0.2985,1173.89524938266
0.299,1173.89575754598
0.2995,1173.89626270006
0.3,1173.89676485864
0.3005,1173.89726403539
0.301,1173.89776024393
0.3015,1173.89825349784
0.302,1173.89874381059
0.3025,1173.89923119564
0.303,1173.89971566638
0.3035,1173.90019723612
0.304,1173.90067591815
0.3045,1173.90115172566
0.305,1173.90162467182
0.3055,1173.90209476972
0.306,1173.9025620324
0.3065,1173.90302647285
0.307,1173.90348810399
0.3075,1173.90394693869
0.308,1173.90440298978
0.3085,1173.90485626999
0.309,1173.90530679205
0.3095,1173.9057545686
0.31,1173.90619961222
0.3105,1173.90664193547
0.311,1173.90708155081
0.3115,1173.90751847067
0.312,1173.90795270744
0.3125,1173.90838427343
0.313,1173.90881318089
0.3135,1173.90923944206
0.314,1173.90966306907
0.3145,1173.91008407404
0.315,1173.91050246901
0.3155,1173.91091826598
0.316,1173.9113314769
0.3165,1173.91174211366
0.317,1173.91215018809
0.3175,1173.91255571199
0.318,1173.91295869709
0.3185,1173.91335915507
0.319,1173.91375709756
0.3195,1173.91415253615
0.32,1173.91454548236
0.3205,1173.91493594767
0.321,1173.9153239435
0.3215,1173.91570948124
0.322,1173.9160925722
0.3225,1173.91647322767
0.323,1173.91685145886
0.3235,1173.91722727696
0.324,1173.91760069308
0.3245,1173.91797171831
0.325,1173.91834036367
0.3255,1173.91870664013
0.326,1173.91907055864
0.3265,1173.91943213006
0.327,1173.91979136523
0.3275,1173.92014827493
0.328,1173.9205028699
0.3285,1173.92085516083
0.329,1173.92120515835
0.3295,1173.92155287305
0.33,1173.92189831548
0.3305,1173.92224149614
0.331,1173.92258242548
0.3315,1173.92292111389
0.332,1173.92325757175
0.3325,1173.92359180935
0.333,1173.92392383697
0.3335,1173.92425366482
0.334,1173.92458130307
0.3345,1173.92490676185
0.335,1173.92523005124
0.3355,1173.92555118128
0.336,1173.92587016197
0.3365,1173.92618700323
0.337,1173.92650171498
0.3375,1173.92681430708
0.338,1173.92712478934
0.3385,1173.92743317152
0.339,1173.92773946334
0.3395,1173.9280436745
0.34,1173.92834581463
0.3405,1173.92864589331
0.341,1173.92894392011
0.3415,1173.92923990453
0.342,1173.92953385603
0.3425,1173.92982578404
0.343,1173.93011569793
0.3435,1173.93040360704
0.344,1173.93068952068
