"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,873.000000000042
0.002,873.000000000616
0.003,873.000000004431
0.004,873.000000022112
0.005,873.000000086157
0.006,873.000000279307
0.007,873.000000784206
0.008,873.000001960106
0.009,873.00000444933
0.01,873.000009311749
0.011,873.000018180472
0.012,873.000033427514
0.013,873.000058325308
0.014,873.00009718915
0.015,873.000155486783
0.016,873.000239904358
0.017,873.00035836185
0.018,873.000519975725
0.019,873.000734970662
0.02,873.001014545781
0.021,873.001370703478
0.022,873.001816050553
0.023,873.0023635829
0.024,873.003026459429
0.025,873.003817782941
0.026,873.004750387819
0.027,873.005836644619
0.028,873.007088285701
0.029,873.00851625504
0.03,873.010130583918
0.031,873.011940293017
0.032,873.013953320288
0.033,873.016176473368
0.034,873.018615404531
0.035,873.021274605962
0.036,873.0241574289
0.037,873.027266092937
0.038,873.030601746163
0.039,873.034164510057
0.04,873.037953538057
0.041,873.041967080174
0.042,873.046202551613
0.043,873.050656603701
0.044,873.055325195684
0.045,873.060203666261
0.046,873.065286803816
0.047,873.070568914618
0.048,873.076043888338
0.049,873.081705260415
0.05,873.087546270964
0.051,873.093559919955
0.052,873.099739018585
0.053,873.106076236745
0.054,873.112564146615
0.055,873.119195258383
0.056,873.125962070679
0.057,873.132857084636
0.058,873.139872842928
0.059,873.147001954424
0.06,873.154237116826
0.061,873.161571136711
0.062,873.168996946947
0.063,873.17650762171
0.064,873.184096389245
0.065,873.191756642566
0.066,873.199481948295
0.067,873.207266053765
0.068,873.215102892593
0.069,873.222986588852
0.07,873.23091145998
0.071,873.238872018578
0.0720000000000001,873.246862973208
0.0730000000000001,873.254879228292
0.0740000000000001,873.262915883256
0.0750000000000001,873.270968230965
0.0760000000000001,873.279031755586
0.0770000000000001,873.287102129916
0.0780000000000001,873.295175212281
0.0790000000000001,873.303247043056
0.0800000000000001,873.311313840872
0.0810000000000001,873.31937199856
0.0820000000000001,873.327418078883
0.0830000000000001,873.335448810104
0.0840000000000001,873.343461081411
0.0850000000000001,873.351451938271
0.0860000000000001,873.359418577688
0.0870000000000001,873.367358343459
0.0880000000000001,873.375268721384
0.0890000000000001,873.38314733452
0.0900000000000001,873.390991938415
0.0910000000000001,873.398800285421
0.0920000000000001,873.406570551236
0.0930000000000001,873.414300844462
0.0940000000000001,873.421989396409
0.0950000000000001,873.429634551228
0.0960000000000001,873.437234760296
0.0970000000000001,873.444788577276
0.0980000000000001,873.452294653554
0.0990000000000001,873.45975173397
0.1,873.467158652762
0.101,873.474514329684
0.102,873.481817766291
0.103,873.489068042338
0.104,873.496264312327
0.105,873.503405802143
0.106,873.510491805855
0.107,873.51752168258
0.108,873.524494853493
0.109,873.531410798927
0.11,873.538269055594
0.111,873.545069213897
0.112,873.551810915351
0.113,873.558493850091
0.114,873.565117754508
0.115,873.571682408942
0.116,873.578187635474
0.117,873.584633295834
0.118,873.591019289366
0.119,873.597345551074
0.12,873.603612049772
0.121,873.609818786304
0.122,873.615965791812
0.123,873.622053126124
0.124,873.628080876172
0.125,873.634049154496
0.126,873.639958097811
0.127,873.645807865627
0.128,873.651598638959
0.129,873.657330619044
0.13,873.663004026161
0.131,873.66861909849
0.132,873.67417609101
0.133,873.679675274461
0.134,873.685116934344
0.135,873.690501369974
0.136,873.695828893585
0.137,873.701099829442
0.138,873.706314513038
0.139,873.711473290298
0.14,873.716576516841
0.141,873.721624557252
0.142,873.726617784421
0.143,873.731556578883
0.144,873.736441328204
0.145,873.74127242641
0.146,873.746050273409
0.147,873.750775274483
0.148,873.755447839762
0.149,873.76006838377
0.15,873.764637324943
0.151,873.769155085227
0.152,873.773622089645
0.153,873.778038765915
0.154,873.782405544089
0.155,873.786722856186
0.156,873.790991135879
0.157,873.795210818169
0.158,873.799382339086
0.159,873.803506135411
0.16,873.807582644416
0.161,873.811612303596
0.162,873.815595550437
0.163,873.819532822195
0.164,873.823424555684
0.165,873.827271187061
0.166,873.831073151656
0.167,873.834830883773
0.168,873.838544491629
0.169,873.842214827938
0.17,873.845842281797
0.171,873.849427262112
0.172,873.852970184057
0.173,873.856471465461
0.174,873.859931524871
0.175,873.863350780335
0.176,873.866729648652
0.177,873.870068544927
0.178,873.873367882231
0.179,873.876628071409
0.18,873.879849520922
0.181,873.883032636714
0.182,873.886177822128
0.183,873.889285477817
0.184,873.892356001677
0.185,873.895389788784
0.186,873.898387231348
0.187,873.901348718653
0.188,873.904274637022
0.189,873.90716536978
0.19,873.910021297217
0.191,873.912842796559
0.192,873.915630241942
0.193,873.91838400439
0.194,873.921104451792
0.195,873.923791948885
0.196,873.926446857243
0.197,873.929069535266
0.198,873.931660338161
0.199,873.934219617945
0.2,873.936747723435
0.201,873.939245000245
0.202,873.941711790783
0.203,873.944148434252
0.204,873.946555266663
0.205,873.948932620815
0.206,873.951280826323
0.207,873.953600209607
0.208,873.955891093918
0.209,873.95815379933
0.21,873.960388642755
0.211,873.962595937959
0.212,873.964775995573
0.213,873.966929123103
0.214,873.969055624941
0.215,873.971155802388
0.216,873.973229953668
0.217,873.975278373938
0.218,873.977301355307
0.219,873.979299186865
0.22,873.981272154681
0.221,873.983220541846
0.222,873.985144628466
0.223,873.987044691704
0.224,873.98892100579
0.225,873.990773842041
0.226,873.992603468887
0.227,873.994410151884
0.228,873.99619415375
0.229,873.997955734368
0.23,873.999695150824
0.231,874.001412657426
0.232,874.003108505721
0.233,874.004782944514
0.234,874.006436219915
0.235,874.008068575328
0.236,874.009680251495
0.237,874.011271486526
0.238,874.012842515898
0.239,874.014393572498
0.24,874.015924886644
