"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1473
0.002,1473
0.003,1473.00000000001
0.004,1473.00000000004
0.005,1473.00000000017
0.006,1473.00000000064
0.007,1473.00000000208
0.008,1473.00000000605
0.009,1473.0000000159
0.01,1473.00000003838
0.011,1473.00000008613
0.012,1473.0000001813
0.013,1473.00000036069
0.014,1473.00000068255
0.015,1473.00000123517
0.016,1473.00000214728
0.017,1473.00000360014
0.018,1473.00000584109
0.019,1473.00000919812
0.02,1473.00001409506
0.021,1473.00002106668
0.022,1473.00003077328
0.023,1473.00004401407
0.024,1473.00006173874
0.025,1473.00008505691
0.026,1473.00011524481
0.027,1473.00015374917
0.028,1473.00020218794
0.029,1473.00026234784
0.03,1473.00033617892
0.031,1473.00042578609
0.032,1473.00053341797
0.033,1473.00066145405
0.034,1473.00081238719
0.035,1473.00098880797
0.036,1473.00119338579
0.037,1473.00142884944
0.038,1473.00169796713
0.039,1473.00200352649
0.04,1473.00234831471
0.041,1473.00273509921
0.042,1473.00316660912
0.043,1473.00364551762
0.044,1473.00417442561
0.045,1473.00475584651
0.046,1473.00539219258
0.047,1473.0060857627
0.048,1473.00683873154
0.049,1473.00765314041
0.05,1473.00853088949
0.051,1473.00947373156
0.052,1473.01048326714
0.053,1473.01156094095
0.054,1473.01270803966
0.055,1473.01392569082
0.056,1473.0152148628
0.057,1473.01657637329
0.058,1473.01801086939
0.059,1473.01951885039
0.06,1473.0211006663
0.061,1473.02275652124
0.062,1473.02448647781
0.063,1473.02629046204
0.064,1473.02816826868
0.065,1473.03011956699
0.066,1473.03214390655
0.067,1473.03424072344
0.068,1473.03640934641
0.069,1473.03864900317
0.07,1473.04095882671
0.071,1473.04333786152
0.0720000000000001,1473.04578506992
0.0730000000000001,1473.04829933811
0.0740000000000001,1473.05087948223
0.0750000000000001,1473.0535242543
0.0760000000000001,1473.05623234789
0.0770000000000001,1473.05900240372
0.0780000000000001,1473.06183301506
0.0790000000000001,1473.06472273288
0.0800000000000001,1473.06767007086
0.0810000000000001,1473.07067351016
0.0820000000000001,1473.07373150397
0.0830000000000001,1473.07684248187
0.0840000000000001,1473.08000485391
0.0850000000000001,1473.08321701461
0.0860000000000001,1473.08647734658
0.0870000000000001,1473.08978422402
0.0880000000000001,1473.09313601605
0.0890000000000001,1473.09653108972
0.0900000000000001,1473.09996781296
0.0910000000000001,1473.10344455719
0.0920000000000001,1473.10695969992
0.0930000000000001,1473.11051162698
0.0940000000000001,1473.11409873474
0.0950000000000001,1473.11771943208
0.0960000000000001,1473.12137214219
0.0970000000000001,1473.12505530429
0.0980000000000001,1473.12876737514
0.0990000000000001,1473.13250683044
0.1,1473.13627216609
0.101,1473.14006189932
0.102,1473.14387456974
0.103,1473.14770874023
0.104,1473.15156299772
0.105,1473.15543595396
0.106,1473.15932621956
0.107,1473.16323249118
0.108,1473.16715345441
0.109,1473.17108782383
0.11,1473.17503434185
0.111,1473.17899177846
0.112,1473.18295893126
0.113,1473.18693462544
0.114,1473.19091771384
0.115,1473.19490707689
0.116,1473.19890162258
0.117,1473.20290028637
0.118,1473.20690203104
0.119,1473.21090584654
0.12,1473.21491074981
0.121,1473.21891578453
0.122,1473.22292002088
0.123,1473.22692255526
0.124,1473.23092251
0.125,1473.23491903305
0.126,1473.23891129761
0.127,1473.24289850182
0.128,1473.24687986838
0.129,1473.25085464414
0.13,1473.25482209977
0.131,1473.25878152932
0.132,1473.26273224983
0.133,1473.26667360091
0.134,1473.27060494431
0.135,1473.27452566356
0.136,1473.27843516345
0.137,1473.28233286969
0.138,1473.28621822841
0.139,1473.29009070579
0.14,1473.29394978759
0.141,1473.29779497875
0.142,1473.30162580295
0.143,1473.30544180219
0.144,1473.30924253633
0.145,1473.31302758277
0.146,1473.31679653592
0.147,1473.32054900686
0.148,1473.32428462294
0.149,1473.3280030273
0.15,1473.33170387859
0.151,1473.33538685047
0.152,1473.33905163128
0.153,1473.34269792366
0.154,1473.34632544417
0.155,1473.34993392289
0.156,1473.35352310311
0.157,1473.35709274094
0.158,1473.36064260495
0.159,1473.36417247588
0.16,1473.36768214624
0.161,1473.37117142001
0.162,1473.37464011231
0.163,1473.37808804909
0.164,1473.38151506682
0.165,1473.38492101215
0.166,1473.38830574167
0.167,1473.39166912156
0.168,1473.39501102734
0.169,1473.3983313436
0.17,1473.40162996368
0.171,1473.40490678944
0.172,1473.40816173101
0.173,1473.41139470648
0.174,1473.41460564171
0.175,1473.41779447006
0.176,1473.42096113215
0.177,1473.42410557565
0.178,1473.42722775503
0.179,1473.43032763134
0.18,1473.43340517203
0.181,1473.4364603507
0.182,1473.4394931469
0.183,1473.44250354597
0.184,1473.44549153881
0.185,1473.4484571217
0.186,1473.45140029612
0.187,1473.45432106856
0.188,1473.45721945037
0.189,1473.46009545758
0.19,1473.4629491107
0.191,1473.46578043464
0.192,1473.46858945845
0.193,1473.47137621527
0.194,1473.47414074211
0.195,1473.47688307974
0.196,1473.47960327255
0.197,1473.48230136838
0.198,1473.48497741844
0.199,1473.48763147716
0.2,1473.49026360204
0.201,1473.49287385356
0.202,1473.49546229507
0.203,1473.49802899264
0.204,1473.50057401497
0.205,1473.50309743329
0.206,1473.50559932123
0.207,1473.50807975476
0.208,1473.51053881205
0.209,1473.51297657339
0.21,1473.51539312109
0.211,1473.51778853942
0.212,1473.52016291447
0.213,1473.52251633414
0.214,1473.52484888796
0.215,1473.5271606671
0.216,1473.52945176424
0.217,1473.53172227352
0.218,1473.53397229044
0.219,1473.53620191184
0.22,1473.53841123578
0.221,1473.54060036148
0.222,1473.54276938928
0.223,1473.54491842059
0.224,1473.54704755777
0.225,1473.54915690413
0.226,1473.55124638053
0.227,1473.5533163114
0.228,1473.55536679127
0.229,1473.55739791987
0.23,1473.55940979962
0.231,1473.56140253497
0.232,1473.56337623192
0.233,1473.56533099769
0.234,1473.56726694044
0.235,1473.56918416907
0.236,1473.57108279312
0.237,1473.57296292263
0.238,1473.57482466806
0.239,1473.57666814025
0.24,1473.57849345032
0.241,1473.58030070969
0.242,1473.58209002995
0.243,1473.58386152289
0.244,1473.58561530042
0.245,1473.58735147459
0.246,1473.58907015748
0.247,1473.59077146124
0.248,1473.59245549802
0.249,1473.59412237998
0.25,1473.59577221923
0.251,1473.59740512779
0.252,1473.59902121763
0.253,1473.6006206006
0.254,1473.60220338841
0.255,1473.60376969261
0.256,1473.60531962461
0.257,1473.60685329558
0.258,1473.60837081652
0.259,1473.60987229818
0.26,1473.61135785107
0.261,1473.61282758542
0.262,1473.61428161122
0.263,1473.61572003812
0.264,1473.61714297549
0.265,1473.61855053238
0.266,1473.6199428175
0.267,1473.62131993919
0.268,1473.62268200545
0.269,1473.62402912391
0.27,1473.62536140182
0.271,1473.626678946
0.272,1473.62798186292
0.273,1473.62927025859
0.274,1473.63054423861
0.275,1473.63180390816
0.276,1473.63304937197
0.277,1473.63428073431
0.278,1473.63549809902
0.279,1473.63670156944
0.28,1473.63789124848
0.281,1473.63906723853
0.282,1473.64022964152
0.283,1473.6413785589
0.284,1473.6425140916
0.285,1473.64363634007
0.286,1473.64474540424
0.287,1473.64584138353
0.288,1473.64692437686
0.289,1473.64799448262
0.29,1473.64905179867
0.291,1473.65009642237
0.292,1473.65112845053
0.293,1473.65214797943
0.294,1473.65315510481
0.295,1473.65414992189
0.296,1473.65513252534
0.297,1473.65610300929
0.298,1473.6570614673
0.299,1473.65800799243
0.3,1473.65894267716
0.301,1473.65986561343
0.302,1473.66077689262
0.303,1473.66167660559
0.304,1473.6625648426
0.305,1473.66344169339
0.306,1473.66430724715
0.307,1473.66516159249
0.308,1473.66600481748
0.309,1473.66683700965
0.31,1473.66765825594
0.311,1473.66846864276
0.312,1473.66926825597
0.313,1473.67005718086
0.314,1473.67083550219
0.315,1473.67160330412
0.316,1473.67236067031
0.317,1473.67310768385
0.318,1473.67384442726
0.319,1473.67457098254
0.32,1473.67528743112
0.321,1473.67599385389
0.322,1473.6766903312
0.323,1473.67737694285
0.324,1473.67805376808
0.325,1473.67872088562
0.326,1473.67937837364
0.327,1473.68002630977
0.328,1473.6806647711
0.329,1473.68129383421
0.33,1473.68191357511
0.331,1473.6825240693
0.332,1473.68312539174
0.333,1473.68371761688
0.334,1473.68430081862
0.335,1473.68487507036
0.336,1473.68544044494
0.337,1473.68599701473
0.338,1473.68654485154
0.339,1473.6870840267
0.34,1473.68761461099
0.341,1473.68813667471
0.342,1473.68865028764
0.343,1473.68915551905
0.344,1473.6896524377
0.345,1473.69014111188
0.346,1473.69062160934
0.347,1473.69109399737
0.348,1473.69155834273
0.349,1473.69201471173
0.35,1473.69246317015
0.351,1473.69290378331
0.352,1473.69333661604
0.353,1473.69376173268
0.354,1473.69417919712
0.355,1473.69458907274
0.356,1473.69499142245
0.357,1473.69538630872
0.358,1473.69577379352
0.359,1473.69615393837
0.36,1473.69652680433
0.361,1473.69689245198
0.362,1473.69725094147
0.363,1473.69760233248
0.364,1473.69794668425
0.365,1473.69828405554
0.366,1473.69861450471
0.367,1473.69893808964
0.368,1473.69925486779
0.369,1473.69956489616
0.37,1473.69986823134
0.371,1473.70016492948
0.372,1473.70045504629
0.373,1473.70073863705
0.374,1473.70101575665
0.375,1473.70128645951
0.376,1473.70155079966
0.377,1473.70180883072
0.378,1473.70206060587
0.379,1473.7023061779
0.38,1473.70254559919
0.381,1473.70277892171
0.382,1473.70300619703
0.383,1473.70322747631
0.384,1473.70344281033
0.385,1473.70365224947
0.386,1473.7038558437
0.387,1473.70405364263
0.388,1473.70424569547
0.389,1473.70443205104
0.39,1473.70461275779
0.391,1473.70478786378
0.392,1473.7049574167
0.393,1473.70512146388
0.394,1473.70528005225
0.395,1473.70543322841
0.396,1473.70558103855
0.397,1473.70572352854
0.398,1473.70586074385
0.399,1473.70599272963
0.4,1473.70611953065
0.401,1473.70624119134
0.402,1473.70635775577
0.403,1473.70646926767
0.404,1473.70657577042
0.405,1473.70667730706
0.406,1473.70677381176
0.407,1473.70686545265
0.408,1473.70695226891
0.409,1473.70703429952
0.41,1473.70711158351
0.411,1473.70718416003
0.412,1473.70725206843
0.413,1473.70731534808
0.414,1473.70737403829
0.415,1473.70742817826
0.416,1473.70747780699
0.417,1473.70752296328
0.418,1473.70756368568
0.419,1473.70760001247
0.42,1473.70763198167
0.421,1473.70765963104
0.422,1473.70768299804
0.423,1473.70770211983
0.424,1473.70771703333
0.425,1473.70772777514
0.426,1473.70773438158
0.427,1473.70773688871
0.428,1473.70773533227
0.429,1473.70772974775
0.43,1473.70772017035
0.431,1473.70770663499
0.432,1473.70768917632
0.433,1473.70766782869
0.434,1473.70764262621
0.435,1473.7076136027
0.436,1473.70758079172
0.437,1473.70754422656
0.438,1473.70750394023
0.439,1473.7074599655
0.44,1473.70741233486
0.441,1473.70736108054
0.442,1473.70730623453
0.443,1473.70724782855
0.444,1473.70718589407
0.445,1473.70712046229
0.446,1473.7070515642
0.447,1473.7069792305
0.448,1473.70690349166
0.449,1473.70682437792
0.45,1473.70674191925
0.451,1473.70665614539
0.452,1473.70656708585
0.453,1473.70647476989
0.454,1473.70637922655
0.455,1473.70628048461
0.456,1473.70617857264
0.457,1473.70607351898
0.458,1473.70596535173
0.459,1473.70585409876
0.46,1473.70573978774
0.461,1473.70562244609
0.462,1473.70550210103
0.463,1473.70537877954
0.464,1473.70525250839
0.465,1473.70512331414
0.466,1473.70499122313
0.467,1473.70485626149
0.468,1473.70471845514
0.469,1473.70457782978
0.47,1473.70443441091
0.471,1473.70428822383
0.472,1473.70413929362
0.473,1473.70398764516
0.474,1473.70383330315
0.475,1473.70367629207
