"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1173
0.002,1173.00000000001
0.003,1173.0000000001
0.004,1173.0000000006
0.005,1173.00000000261
0.006,1173.00000000944
0.007,1173.00000002943
0.008,1173.00000008137
0.009,1173.0000002035
0.01,1173.00000046748
0.011,1173.00000099812
0.012,1173.00000199979
0.013,1173.00000378921
0.014,1173.00000683413
0.015,1173.00001179652
0.016,1173.00001957804
0.017,1173.00003136565
0.018,1173.0000486745
0.019,1173.00007338562
0.02,1173.00010777605
0.021,1173.00015453957
0.022,1173.00021679671
0.023,1173.00029809338
0.024,1173.00040238798
0.025,1173.00053402756
0.026,1173.00069771403
0.027,1173.00089846151
0.028,1173.00114154689
0.029,1173.00143245558
0.03,1173.00177682093
0.031,1173.00218036581
0.032,1173.00264884166
0.033,1173.00318796908
0.034,1173.00380338112
0.035,1173.00450056988
0.036,1173.0052848376
0.037,1173.00616125252
0.038,1173.00713461019
0.039,1173.00820940021
0.04,1173.00938977854
0.041,1173.01067954538
0.042,1173.0120821283
0.043,1173.01360057045
0.044,1173.01523752346
0.045,1173.01699524462
0.046,1173.01887560397
0.047,1173.02088007157
0.048,1173.02300974107
0.049,1173.02526533637
0.05,1173.02764722338
0.051,1173.03015542438
0.052,1173.03278963374
0.053,1173.03554923497
0.054,1173.03843331855
0.055,1173.04144070048
0.056,1173.04456994099
0.057,1173.04781936351
0.058,1173.05118707355
0.059,1173.05467097732
0.06,1173.05826880003
0.061,1173.06197810373
0.062,1173.06579630461
0.063,1173.06972068958
0.064,1173.07374843226
0.065,1173.07787660818
0.066,1173.08210220923
0.067,1173.08642215734
0.068,1173.09083331736
0.069,1173.0953325091
0.07,1173.0999165187
0.071,1173.1045821091
0.0720000000000001,1173.10932602983
0.0730000000000001,1173.11414502604
0.0740000000000001,1173.11903584683
0.0750000000000001,1173.12399524608
0.0760000000000001,1173.12902001263
0.0770000000000001,1173.13410694873
0.0780000000000001,1173.13925288841
0.0790000000000001,1173.14445470207
0.0800000000000001,1173.14970930082
0.0810000000000001,1173.15501364062
0.0820000000000001,1173.16036472582
0.0830000000000001,1173.16575961242
0.0840000000000001,1173.17119541095
0.0850000000000001,1173.17666928884
0.0860000000000001,1173.18217847256
0.0870000000000001,1173.18772024937
0.0880000000000001,1173.19329196873
0.0890000000000001,1173.19889104354
0.0900000000000001,1173.204514951
0.0910000000000001,1173.21016123328
0.0920000000000001,1173.21582749796
0.0930000000000001,1173.22151141831
0.0940000000000001,1173.22721073333
0.0950000000000001,1173.23292324766
0.0960000000000001,1173.2386468313
0.0970000000000001,1173.24437941926
0.0980000000000001,1173.25011901103
0.0990000000000001,1173.25586366995
0.1,1173.2616115225
0.101,1173.26736075753
0.102,1173.27310962533
0.103,1173.27885643671
0.104,1173.28459956198
0.105,1173.29033742992
0.106,1173.29606852668
0.107,1173.30179139462
0.108,1173.30750463118
0.109,1173.31320688766
0.11,1173.31889686806
0.111,1173.32457332784
0.112,1173.33023507267
0.113,1173.33588095724
0.114,1173.34150988399
0.115,1173.34712080191
0.116,1173.35271270527
0.117,1173.35828463245
0.118,1173.36383566465
0.119,1173.36936492478
0.12,1173.37487157622
0.121,1173.38035482163
0.122,1173.38581390181
0.123,1173.39124809461
0.124,1173.3966567137
0.125,1173.40203910756
0.126,1173.40739465836
0.127,1173.41272278089
0.128,1173.41802292155
0.129,1173.42329455729
0.13,1173.42853719464
0.131,1173.43375036873
0.132,1173.43893364234
0.133,1173.44408660496
0.134,1173.44920887189
0.135,1173.45430008335
0.136,1173.45935990363
0.137,1173.46438802023
0.138,1173.46938414307
0.139,1173.47434800366
0.14,1173.47927935435
0.141,1173.48417796757
0.142,1173.48904349939
0.143,1173.49387591692
0.144,1173.49867504817
0.145,1173.50344073397
0.146,1173.50817283232
0.147,1173.51287121839
0.148,1173.51753578369
0.149,1173.5221664352
0.15,1173.52676309454
0.151,1173.53132569732
0.152,1173.53585419247
0.153,1173.54034854163
0.154,1173.54480871864
0.155,1173.54923470902
0.156,1173.55362650944
0.157,1173.5579841273
0.158,1173.56230758023
0.159,1173.56659689568
0.16,1173.5708521105
0.161,1173.57507327053
0.162,1173.57926043019
0.163,1173.58341365215
0.164,1173.58753300692
0.165,1173.59161857253
0.166,1173.59567043415
0.167,1173.59968868383
0.168,1173.60367342012
0.169,1173.60762474779
0.17,1173.61154277755
0.171,1173.61542762573
0.172,1173.61927941405
0.173,1173.62309826932
0.174,1173.62688432321
0.175,1173.63063771197
0.176,1173.63435857625
0.177,1173.6380470608
0.178,1173.64170331432
0.179,1173.64532748921
0.18,1173.64891974135
0.181,1173.65248022994
0.182,1173.65600911729
0.183,1173.65950656864
0.184,1173.66297275201
0.185,1173.66640783795
0.186,1173.66981199949
0.187,1173.6731854119
0.188,1173.67652825256
0.189,1173.67984070083
0.19,1173.6831229379
0.191,1173.68637514665
0.192,1173.68959751151
0.193,1173.69279021838
0.194,1173.69595345447
0.195,1173.69908740819
0.196,1173.70219226905
0.197,1173.70526822756
0.198,1173.70831547509
0.199,1173.71133420385
0.2,1173.71432460669
0.201,1173.71728687711
0.202,1173.72022120911
0.203,1173.72312779713
0.204,1173.72600683597
0.205,1173.7288585207
0.206,1173.73168304663
0.207,1173.73448060916
0.208,1173.7372514038
0.209,1173.73999562606
0.21,1173.74271347138
0.211,1173.7454051351
0.212,1173.7480708124
0.213,1173.75071069819
0.214,1173.75332498717
0.215,1173.75591387367
0.216,1173.75847755166
0.217,1173.7610162147
0.218,1173.76353005589
0.219,1173.76601926782
0.22,1173.76848404255
0.221,1173.77092457157
0.222,1173.77334104576
0.223,1173.77573365533
0.224,1173.77810258983
0.225,1173.78044803812
0.226,1173.78277018829
0.227,1173.7850692277
0.228,1173.7873453429
0.229,1173.78959871964
0.23,1173.79182954282
0.231,1173.79403799648
0.232,1173.7962242638
0.233,1173.79838852703
0.234,1173.80053096755
0.235,1173.80265176573
0.236,1173.80475110108
0.237,1173.80682915206
0.238,1173.80888609621
0.239,1173.81092211002
0.24,1173.81293736902
0.241,1173.81493204771
0.242,1173.81690631953
0.243,1173.81886035691
0.244,1173.82079433123
0.245,1173.8227084128
0.246,1173.82460277086
0.247,1173.82647757359
0.248,1173.82833298808
0.249,1173.83016918034
0.25,1173.83198631529
0.251,1173.83378455675
0.252,1173.83556406743
0.253,1173.83732500895
0.254,1173.83906754182
0.255,1173.84079182544
0.256,1173.84249801809
0.257,1173.84418627694
0.258,1173.84585675805
0.259,1173.84750961637
0.26,1173.84914500571
0.261,1173.85076307878
0.262,1173.85236398716
0.263,1173.85394761971
0.264,1173.8555144285
0.265,1173.8570645586
0.266,1173.85859814809
0.267,1173.86011533544
0.268,1173.86161626011
0.269,1173.86310106215
0.27,1173.86456988162
0.271,1173.8660228583
0.272,1173.86746013134
0.273,1173.86888183917
0.274,1173.87028811935
0.275,1173.87167910853
