"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1473
0.002,1473
0.003,1473.00000000001
0.004,1473.00000000004
0.005,1473.00000000016
0.006,1473.00000000061
0.007,1473.00000000199
0.008,1473.00000000581
0.009,1473.00000001535
0.01,1473.00000003723
0.011,1473.00000008387
0.012,1473.00000017715
0.013,1473.00000035351
0.014,1473.00000067076
0.015,1473.00000121671
0.016,1473.0000021196
0.017,1473.00000356027
0.018,1473.00000578583
0.019,1473.00000912429
0.02,1473.00001399987
0.021,1473.00002094826
0.022,1473.00003063135
0.023,1473.00004385066
0.024,1473.00006155914
0.025,1473.00008487058
0.026,1473.00011506649
0.027,1473.00015359999
0.028,1473.00020209646
0.029,1473.00026235124
0.03,1473.00033632412
0.031,1473.00042613078
0.032,1473.00053403166
0.033,1473.00066241831
0.034,1473.00081379768
0.035,1473.0009907748
0.036,1473.00119603411
0.037,1473.00143231995
0.038,1473.00170241653
0.039,1473.00200912782
0.04,1473.00235525839
0.041,1473.00274359168
0.042,1473.00317687354
0.043,1473.0036577939
0.044,1473.00418897032
0.045,1473.00477293271
0.046,1473.00541210958
0.047,1473.00610881575
0.048,1473.00686524152
0.049,1473.0076834434
0.05,1473.00856533639
0.051,1473.00951268758
0.052,1473.01052711136
0.053,1473.01161006579
0.054,1473.01276285038
0.055,1473.01398660493
0.056,1473.01528230957
0.057,1473.01665078571
0.058,1473.01809269796
0.059,1473.01960855676
0.06,1473.02119872185
0.061,1473.02286340837
0.062,1473.02460268512
0.063,1473.0264164858
0.064,1473.02830461224
0.065,1473.03026674027
0.066,1473.03230242561
0.067,1473.03441110996
0.068,1473.03659212721
0.069,1473.03884470973
0.07,1473.04116799465
0.071,1473.0435610302
0.0720000000000001,1473.04602278189
0.0730000000000001,1473.04855213874
0.0740000000000001,1473.05114791927
0.0750000000000001,1473.05380887741
0.0760000000000001,1473.05653370828
0.0770000000000001,1473.05932105374
0.0780000000000001,1473.06216950782
0.0790000000000001,1473.06507762191
0.0800000000000001,1473.06804390971
0.0810000000000001,1473.07106685211
0.0820000000000001,1473.07414490165
0.0830000000000001,1473.07727648699
0.0840000000000001,1473.08046001698
0.0850000000000001,1473.08369388458
0.0860000000000001,1473.08697647062
0.0870000000000001,1473.09030614725
0.0880000000000001,1473.09368128129
0.0890000000000001,1473.09710023724
0.0900000000000001,1473.10056138024
0.0910000000000001,1473.10406307877
0.0920000000000001,1473.10760370711
0.0930000000000001,1473.11118164772
0.0940000000000001,1473.11479529341
0.0950000000000001,1473.1184430493
0.0960000000000001,1473.12212333469
0.0970000000000001,1473.12583458474
0.0980000000000001,1473.129575252
0.0990000000000001,1473.13334380783
0.1,1473.13713874366
0.101,1473.14095857214
0.102,1473.14480182818
0.103,1473.14866706984
0.104,1473.15255287917
0.105,1473.15645786293
0.106,1473.16038059385
0.107,1473.16431979234
0.108,1473.16827414938
0.109,1473.17224237381
0.11,1473.17622320112
0.111,1473.18021539464
0.112,1473.18421774562
0.113,1473.18822907316
0.114,1473.19224822416
0.115,1473.19627407319
0.116,1473.20030552247
0.117,1473.20434150169
0.118,1473.20838096791
0.119,1473.21242290537
0.12,1473.21646632529
0.121,1473.22051026566
0.122,1473.22455379096
0.123,1473.22859599193
0.124,1473.23263598522
0.125,1473.2366729131
0.126,1473.24070594316
0.127,1473.24473426788
0.128,1473.24875710434
0.129,1473.25277369381
0.13,1473.25678330138
0.131,1473.26078521553
0.132,1473.26477874778
0.133,1473.26876323224
0.134,1473.27273802518
0.135,1473.27670250467
0.136,1473.28065607009
0.137,1473.28459814175
0.138,1473.28852816045
0.139,1473.29244558704
0.14,1473.29634990201
0.141,1473.30024060503
0.142,1473.30411721458
0.143,1473.30797926748
0.144,1473.3118263185
0.145,1473.31565793991
0.146,1473.31947372109
0.147,1473.32327326813
0.148,1473.32705620338
0.149,1473.33082216509
0.15,1473.33457080703
0.151,1473.33830179802
0.152,1473.34201482163
0.153,1473.34570957575
0.154,1473.34938577225
0.155,1473.35304313657
0.156,1473.35668140739
0.157,1473.36030033626
0.158,1473.36389968727
0.159,1473.36747923667
0.16,1473.37103877257
0.161,1473.37457809459
0.162,1473.37809701352
0.163,1473.38159535106
0.164,1473.38507293943
0.165,1473.38852962114
0.166,1473.39196524863
0.167,1473.395379684
0.168,1473.39877279876
0.169,1473.40214447348
0.17,1473.4054945976
0.171,1473.40882306907
0.172,1473.41212979416
0.173,1473.41541468721
0.174,1473.41867767029
0.175,1473.42191867308
0.176,1473.42513763254
0.177,1473.42833449272
0.178,1473.43150920453
0.179,1473.4346617255
0.18,1473.43779201961
0.181,1473.44090005702
0.182,1473.44398581391
0.183,1473.44704927228
0.184,1473.45009041972
0.185,1473.45310924926
0.186,1473.45610575918
0.187,1473.4590799528
0.188,1473.46203183836
0.189,1473.46496142878
0.19,1473.46786874157
0.191,1473.4707537986
0.192,1473.47361662601
0.193,1473.47645725399
0.194,1473.4792757167
0.195,1473.48207205207
0.196,1473.48484630168
0.197,1473.48759851064
0.198,1473.49032872745
0.199,1473.49303700383
0.2,1473.49572339468
0.201,1473.49838795786
0.202,1473.50103075417
0.203,1473.50365184714
0.204,1473.506251303
0.205,1473.50882919052
0.206,1473.51138558093
0.207,1473.5139205478
0.208,1473.51643416696
0.209,1473.5189265164
0.21,1473.52139767616
0.211,1473.52384772826
0.212,1473.5262767566
0.213,1473.52868484687
0.214,1473.53107208651
0.215,1473.53343856455
0.216,1473.53578437161
0.217,1473.53810959978
0.218,1473.54041434257
0.219,1473.54269869481
0.22,1473.54496275262
0.221,1473.54720661331
0.222,1473.54943037534
0.223,1473.55163413825
0.224,1473.55381800256
0.225,1473.55598180574
0.226,1473.55812593575
0.227,1473.5602505162
0.228,1473.56235564336
0.229,1473.56444141318
0.23,1473.56650792459
0.231,1473.56855527914
0.232,1473.57058358039
0.233,1473.57259293338
0.234,1473.57458344429
0.235,1473.57655522017
0.236,1473.5785083688
0.237,1473.58044299855
0.238,1473.58235921827
0.239,1473.58425713723
0.24,1473.58613686504
0.241,1473.58799851163
0.242,1473.58984218717
0.243,1473.59166800202
0.244,1473.59347606673
0.245,1473.595266492
0.246,1473.59703938859
0.247,1473.59879486738
0.248,1473.60053303924
0.249,1473.60225401509
0.25,1473.60395790583
0.251,1473.6056448223
0.252,1473.6073148753
0.253,1473.60896817552
0.254,1473.61060483356
0.255,1473.61222495988
0.256,1473.61382866478
0.257,1473.6154160584
0.258,1473.61698725069
0.259,1473.61854235137
0.26,1473.62008146996
0.261,1473.62160471572
0.262,1473.62311219765
0.263,1473.62460402447
0.264,1473.62608030463
0.265,1473.62754114626
0.266,1473.62898665718
0.267,1473.63041694485
0.268,1473.63183211644
0.269,1473.63323227871
0.27,1473.63461753808
0.271,1473.6359880006
0.272,1473.6373437719
0.273,1473.63868495725
0.274,1473.64001166147
0.275,1473.641323989
0.276,1473.64262204383
0.277,1473.64390592953
0.278,1473.64517574921
0.279,1473.64643160555
0.28,1473.64767360076
0.281,1473.64890183659
0.282,1473.65011641432
0.283,1473.65131743476
0.284,1473.65250499821
0.285,1473.65367920453
0.286,1473.65484015305
0.287,1473.6559879426
0.288,1473.65712267154
0.289,1473.6582444377
0.29,1473.6593533384
0.291,1473.66044947046
0.292,1473.66153293016
0.293,1473.66260381328
0.294,1473.66366221507
0.295,1473.66470823025
0.296,1473.66574195301
0.297,1473.66676347701
0.298,1473.66777289539
0.299,1473.66877030072
0.3,1473.66975578508
0.301,1473.67072943996
0.302,1473.67169135635
0.303,1473.67264162468
0.304,1473.67358033484
0.305,1473.67450757619
0.306,1473.67542343752
0.307,1473.67632800708
0.308,1473.6772213726
0.309,1473.67810362125
0.31,1473.67897483964
0.311,1473.67983511384
0.312,1473.6806845294
0.313,1473.6815231713
0.314,1473.68235112397
0.315,1473.68316847131
0.316,1473.68397529667
0.317,1473.68477168286
0.318,1473.68555771215
0.319,1473.68633346626
0.32,1473.68709902636
0.321,1473.68785447311
0.322,1473.6885998866
0.323,1473.6893353464
0.324,1473.69006093155
0.325,1473.69077672052
0.326,1473.6914827913
0.327,1473.6921792213
0.328,1473.69286608742
0.329,1473.69354346603
0.33,1473.69421143298
0.331,1473.69487006358
0.332,1473.69551943262
0.333,1473.69615961438
0.334,1473.6967906826
0.335,1473.69741271053
0.336,1473.69802577087
0.337,1473.69862993584
0.338,1473.69922527712
0.339,1473.69981186589
0.34,1473.70038977284
0.341,1473.70095906813
0.342,1473.70151982142
0.343,1473.70207210189
0.344,1473.7026159782
0.345,1473.70315151852
0.346,1473.70367879053
0.347,1473.70419786142
0.348,1473.70470879787
0.349,1473.70521166612
0.35,1473.70570653187
0.351,1473.70619346038
0.352,1473.70667251641
0.353,1473.70714376426
0.354,1473.70760726773
0.355,1473.70806309018
0.356,1473.70851129447
0.357,1473.70895194302
0.358,1473.70938509778
0.359,1473.70981082022
0.36,1473.71022917138
0.361,1473.71064021183
0.362,1473.71104400168
0.363,1473.7114406006
0.364,1473.71183006782
0.365,1473.71221246209
0.366,1473.71258784177
0.367,1473.71295626473
0.368,1473.71331778843
0.369,1473.71367246989
0.37,1473.71402036571
0.371,1473.71436153204
0.372,1473.71469602461
0.373,1473.71502389873
0.374,1473.71534520929
0.375,1473.71566001076
0.376,1473.7159683572
0.377,1473.71627030224
0.378,1473.71656589912
0.379,1473.71685520066
0.38,1473.71713825927
0.381,1473.71741512697
0.382,1473.71768585538
0.383,1473.71795049572
0.384,1473.71820909881
0.385,1473.71846171508
0.386,1473.71870839457
0.387,1473.71894918695
0.388,1473.71918414148
0.389,1473.71941330707
0.39,1473.71963673221
0.391,1473.71985446505
0.392,1473.72006655335
0.393,1473.7202730445
0.394,1473.72047398554
0.395,1473.72066942311
0.396,1473.72085940351
0.397,1473.72104397267
0.398,1473.72122317618
0.399,1473.72139705926
0.4,1473.72156566677
0.401,1473.72172904322
0.402,1473.7218872328
0.403,1473.72204011018
0.404,1473.72218790365
0.405,1473.72233066547
0.406,1473.72246843426
0.407,1473.7226012478
0.408,1473.72272914465
0.409,1473.72285216408
0.41,1473.72297034575
0.411,1473.72308372954
0.412,1473.72319235531
0.413,1473.72329626285
0.414,1473.72339549178
0.415,1473.72349008154
0.416,1473.72358007133
0.417,1473.72366550009
0.418,1473.72374640651
0.419,1473.72382282899
0.42,1473.72389480567
0.421,1473.72396237441
0.422,1473.72402557277
0.423,1473.72408443805
0.424,1473.72413900725
0.425,1473.72418931709
0.426,1473.72423540401
0.427,1473.72427730416
0.428,1473.72431505343
0.429,1473.7243486874
0.43,1473.72437824141
0.431,1473.72440375049
0.432,1473.7244252494
0.433,1473.72444277265
0.434,1473.72445635447
0.435,1473.72446602879
0.436,1473.72447182932
0.437,1473.72447378947
0.438,1473.7244719424
0.439,1473.724466321
0.44,1473.72445695791
0.441,1473.7244438855
0.442,1473.7244271359
0.443,1473.72440674097
0.444,1473.72438273231
0.445,1473.72435514129
0.446,1473.72432399902
0.447,1473.72428933637
0.448,1473.72425118394
0.449,1473.72420957212
0.45,1473.72416453104
0.451,1473.72411609059
0.452,1473.72406428041
0.453,1473.72400912994
0.454,1473.72395066835
0.455,1473.72388892459
0.456,1473.72382392738
0.457,1473.72375570521
0.458,1473.72368428634
0.459,1473.7236096988
0.46,1473.72353197041
0.461,1473.72345112875
0.462,1473.72336720118
0.463,1473.72328021487
0.464,1473.72319019674
0.465,1473.72309717351
0.466,1473.72300117167
0.467,1473.72290221751
0.468,1473.72280033712
0.469,1473.72269555636
0.47,1473.7225879009
0.471,1473.72247739617
0.472,1473.72236406746
0.473,1473.72224793978
0.474,1473.722129038
0.475,1473.72200738676
