"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,298.00000082696
0.002,298.000007685219
0.003,298.000037848673
0.004,298.000131593015
0.005,298.000363028843
0.006,298.000846755109
0.007,298.001737552813
0.008,298.003222701079
0.009,298.005508651924
0.01,298.008804961339
0.011,298.013308451329
0.012,298.019189891935
0.013,298.026584513
0.014,298.035586707147
0.015,298.046248565864
0.016,298.058581568624
0.017,298.072560471048
0.018,298.088128573847
0.019,298.105203564574
0.02,298.123683514786
0.021,298.143452454045
0.022,298.164385409798
0.023,298.186352750777
0.024,298.209223771025
0.025,298.232869568
0.026,298.257165246529
0.027,298.281991612884
0.028,298.307236265656
0.029,298.332794357626
0.03,298.358569000743
0.031,298.384471410945
0.032,298.410420852253
0.033,298.43634443093
0.034,298.462176781731
0.035,298.487859680324
0.036,298.513341608984
0.037,298.538577296717
0.038,298.563527250059
0.039,298.588157079337
0.04,298.612437747885
0.041,298.63634430538
0.042,298.659855833137
0.043,298.682955037386
0.044,298.705627879957
0.045,298.72786323884
0.046,298.749652596396
0.047,298.770989753684
0.048,298.791870569567
0.049,298.812292723192
0.05,298.832255498392
0.051,298.851759588494
0.052,298.870806920065
0.053,298.889400494085
0.054,298.907544243128
0.055,298.925242903215
0.056,298.942501898999
0.057,298.959327241111
0.058,298.975725434532
0.059,298.991703396933
0.06,299.007268386043
0.061,299.022427935145
0.062,299.037189795917
0.063,299.051561461396
0.064,299.065551576437
0.065,299.079168174748
0.066,299.092419394423
0.067,299.105313412543
0.068,299.1178584072
0.069,299.130062529808
0.07,299.141933883137
0.071,299.15348050312
0.0720000000000001,299.16471034355
0.0730000000000001,299.17563126312
0.0740000000000001,299.186251014492
0.0750000000000001,299.196577235122
0.0760000000000001,299.206617439618
0.0770000000000001,299.216379013469
0.0780000000000001,299.225869207958
0.0790000000000001,299.235095136143
0.0800000000000001,299.244063769756
0.0810000000000001,299.252781936931
0.0820000000000001,299.261256320642
0.0830000000000001,299.269493457779
0.0840000000000001,299.277499738771
0.0850000000000001,299.285281407694
0.0860000000000001,299.292844562789
0.0870000000000001,299.300195157354
0.0880000000000001,299.307339000944
0.0890000000000001,299.314281760837
