"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,873.000000000052
0.002,873.00000000069
0.003,873.000000004898
0.004,873.00000002419
0.005,873.000000093373
0.006,873.000000300165
0.007,873.000000836439
0.008,873.000002076575
0.009,873.000004685266
0.01,873.000009752608
0.011,873.000018949336
0.012,873.000034690885
0.013,873.000060296281
0.014,873.000100127125
0.015,873.000159693395
0.016,873.000245715672
0.017,873.000366137423
0.018,873.00053008503
0.019,873.000747778186
0.02,873.00103039561
0.021,873.001389904359
0.022,873.001838862285
0.023,873.002390204326
0.024,873.003057019701
0.025,873.003852334577
0.026,873.004788902589
0.027,873.005879011922
0.028,873.007134313233
0.029,873.008565671432
0.03,873.010183043001
0.031,873.011995379333
0.032,873.01401055798
0.033,873.01623532819
0.034,873.018675293625
0.035,873.021334905417
0.036,873.024217474889
0.037,873.027325201457
0.038,873.030659213057
0.039,873.034219616653
0.04,873.038005556574
0.041,873.042015278612
0.042,873.046246198041
0.043,873.05069496994
0.044,873.055357560447
0.045,873.060229317736
0.046,873.065305041789
0.047,873.070579052144
0.048,873.076045243091
0.049,873.081697177503
0.05,873.087528111202
0.051,873.093531059809
0.052,873.099698850668
0.053,873.106024170015
0.054,873.112499606333
0.055,873.119117689964
0.056,873.1258709291
0.057,873.132751842231
0.058,873.139752987241
0.059,873.146866987303
0.06,873.154086553766
0.061,873.161404506233
0.062,873.168813790004
0.063,873.176307491094
0.064,873.183878849021
0.065,873.191521267532
0.066,873.199228323447
0.067,873.206993773806
0.068,873.214811561463
0.069,873.222675819284
0.07,873.230580873091
0.071,873.238521243488
0.0720000000000001,873.246491646681
0.0730000000000001,873.254486994415
0.0740000000000001,873.262502393131
0.0750000000000001,873.270533142444
0.0760000000000001,873.27857473301
0.0770000000000001,873.286622843892
0.0780000000000001,873.294673339478
0.0790000000000001,873.302722266011
0.0800000000000001,873.310765847826
0.0810000000000001,873.318800483303
0.0820000000000001,873.326822740617
0.0830000000000001,873.33482935332
0.0840000000000001,873.342817057926
0.0850000000000001,873.350783095839
0.0860000000000001,873.358724666451
0.0870000000000001,873.366639107947
0.0880000000000001,873.374523903955
0.0890000000000001,873.38237667809
0.0900000000000001,873.390195188074
0.0910000000000001,873.397977320337
0.0920000000000001,873.405721084975
0.0930000000000001,873.413424610975
0.0940000000000001,873.421086141592
0.0950000000000001,873.428704029867
0.0960000000000001,873.436276734274
0.0970000000000001,873.443802814485
0.0980000000000001,873.451280927228
0.0990000000000001,873.458709822278
0.1,873.46608833856
0.101,873.473415400351
0.102,873.48069001361
0.103,873.487911262418
0.104,873.495078305528
0.105,873.502190373046
0.106,873.509246763192
0.107,873.516246839205
0.108,873.523190026337
0.109,873.530075808963
0.11,873.536903727795
0.111,873.543673377202
0.112,873.550384402624
0.113,873.557036498096
0.114,873.563629403852
0.115,873.570162904043
0.116,873.576636824533
0.117,873.583051030785
0.118,873.58940542583
0.119,873.595699948332
0.12,873.60193457072
0.121,873.608109297402
0.122,873.614224163056
0.123,873.620279230991
0.124,873.626274591584
0.125,873.632210360774
0.126,873.638086678628
0.127,873.643903707974
0.128,873.649661633084
0.129,873.655360658422
0.13,873.661001007446
0.131,873.666582921465
0.132,873.672106658542
0.133,873.677572492461
0.134,873.682980711717
0.135,873.68833161858
0.136,873.693625528178
0.137,873.698862767643
0.138,873.704043675281
0.139,873.709168599787
0.14,873.7142378995
0.141,873.719251941687
0.142,873.72421110187
0.143,873.729115763176
0.144,873.733966315717
0.145,873.738763156018
0.146,873.74350668645
0.147,873.748197314703
0.148,873.752835453287
0.149,873.757421519045
0.15,873.761955932712
0.151,873.766439118469
0.152,873.770871503546
0.153,873.775253517826
0.154,873.779585593478
0.155,873.783868164608
0.156,873.788101666926
0.157,873.792286537435
0.158,873.79642321413
0.159,873.800512135718
0.16,873.804553355454
0.161,873.808547780582
0.162,873.812495842501
0.163,873.816397955412
0.164,873.820254541292
0.165,873.824066027963
0.166,873.827832846238
0.167,873.831555428109
0.168,873.835234205662
0.169,873.838869610405
0.17,873.84246207283
0.171,873.846012022097
0.172,873.849519885798
0.173,873.852986089773
0.174,873.856411057944
0.175,873.859795212178
0.176,873.863138972177
0.177,873.866442755354
0.178,873.869706976743
0.179,873.872932048913
0.18,873.876118381875
0.181,873.879266383019
0.182,873.882376457039
0.183,873.885449005872
0.184,873.888484428643
0.185,873.891483121604
0.186,873.8944454781
0.187,873.897371888515
0.188,873.900262740236
0.189,873.903118417618
0.19,873.905939301951
0.191,873.908725771438
0.192,873.911478201155
0.193,873.914196963048
0.194,873.916882425899
0.195,873.919534955317
0.196,873.922154913721
0.197,873.924742660333
0.198,873.927298551162
0.199,873.929822939004
0.2,873.932316173433
0.201,873.9347786008
0.202,873.937210564233
0.203,873.939612403633
0.204,873.941984455682
0.205,873.944327053846
0.206,873.946640528374
0.207,873.948925206318
0.208,873.951181411524
0.209,873.953409464656
0.21,873.955609683201
0.211,873.957782381475
0.212,873.959927870646
0.213,873.962046458742
0.214,873.964138450664
0.215,873.966204148201
0.216,873.96824385005
0.217,873.970257851831
0.218,873.972246446105
0.219,873.974209922384
0.22,873.976148567166
0.221,873.978062663936
0.222,873.979952493202
0.223,873.981818332499
0.224,873.983660456425
0.225,873.98547913665
0.226,873.987274641945
0.227,873.989047238195
0.228,873.990797188436
0.229,873.992524752856
0.23,873.994230188839
0.231,873.995913750973
0.232,873.997575691076
0.233,873.999216258223
0.234,874.000835698764
0.235,874.002434256355
0.236,874.004012171969
0.237,874.005569683929
0.238,874.007107027936
0.239,874.008624437074
0.24,874.010122141856
0.241,874.011600370229
0.242,874.013059347612
0.243,874.014499296907
0.244,874.015920438537
0.245,874.017322990456
0.246,874.01870716818
0.247,874.02007318481
0.248,874.021421251051
0.249,874.022751575246
0.25,874.024064363383
0.251,874.025359819136
0.252,874.026638143878
0.253,874.0278995367
0.254,874.029143635135
0.255,874.030371308307
0.256,874.03158273451
0.257,874.032778070507
0.258,874.033957482305
0.259,874.035121142412
0.26,874.036269226315
0.261,874.037401910344
0.262,874.038519370498
0.263,874.039621781789
0.264,874.040709317887
0.265,874.041782150908
0.266,874.042840451291
0.267,874.043884387735
0.268,874.044914127165
0.269,874.045929834697
0.27,874.046931673651
0.271,874.047919805534
0.272,874.048894390053
0.273,874.049855585123
0.274,874.05080354688
0.275,874.051738429689
0.276,874.052660386165
0.277,874.053569567182
0.278,874.054466121894
0.279,874.055350197748
0.28,874.056221940501
0.281,874.057081494242
0.282,874.0579290014
0.283,874.058764602767
0.284,874.059588437516
0.285,874.060400643218
0.286,874.061201355854
0.287,874.061990709837
0.288,874.062768838028
0.289,874.063535871753
0.29,874.064291940819
0.291,874.065037173531
0.292,874.065771696711
0.293,874.06649563571
0.294,874.067209114425
0.295,874.067912255321
0.296,874.068605179441
0.297,874.069288006422
0.298,874.069960854517
0.299,874.070623840601
0.3,874.071277080196
0.301,874.071920687479
0.302,874.072554775303
0.303,874.073179455206
0.304,874.073794837432
0.305,874.074401030943
0.306,874.07499814343
0.307,874.075586281335
0.308,874.076165549861
0.309,874.076736052982
0.31,874.077297893466
0.311,874.077851172883
0.312,874.078395991619
0.313,874.078932448892
0.314,874.079460642763
0.315,874.07998067015
0.316,874.080492626842
0.317,874.080996607512
0.318,874.081492705728
0.319,874.081981013967
0.32,874.082461623629
0.321,874.082934625044
0.322,874.083400107495
0.323,874.083858159217
0.324,874.084308867416
0.325,874.084752318288
0.326,874.085188597013
0.327,874.085617787782
0.328,874.086039973803
