"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1173
0.002,1173.00000000001
0.003,1173.00000000012
0.004,1173.00000000067
0.005,1173.00000000289
0.006,1173.00000001034
0.007,1173.000000032
0.008,1173.00000008787
0.009,1173.0000002184
0.01,1173.00000049888
0.011,1173.00000105972
0.012,1173.00000211329
0.013,1173.00000398721
0.014,1173.00000716326
0.015,1173.00001232064
0.016,1173.00002038129
0.017,1173.00003255508
0.018,1173.00005038201
0.019,1173.00007576913
0.02,1173.00011101962
0.021,1173.00015885249
0.022,1173.00022241157
0.023,1173.00030526311
0.024,1173.00041138203
0.025,1173.00054512742
0.026,1173.00071120809
0.027,1173.00091463975
0.028,1173.00116069526
0.029,1173.00145484976
0.03,1173.00180272325
0.031,1173.00221001814
0.032,1173.00268246142
0.033,1173.00322574534
0.034,1173.00384547109
0.035,1173.00454709616
0.036,1173.00533588591
0.037,1173.00621687014
0.038,1173.0071948049
0.039,1173.00827413981
0.04,1173.00945899089
0.041,1173.01075311881
0.042,1173.01215991249
0.043,1173.01368237759
0.044,1173.01532312969
0.045,1173.01708439175
0.046,1173.01896799538
0.047,1173.02097538562
0.048,1173.0231076348
0.049,1173.02536543447
0.05,1173.02774912576
0.051,1173.03025870881
0.052,1173.03289385816
0.053,1173.03565393957
0.054,1173.03853802783
0.055,1173.04154492512
0.056,1173.04467317972
0.057,1173.04792110488
0.058,1173.05128679755
0.059,1173.05476815696
0.06,1173.05836290283
0.061,1173.06206859305
0.062,1173.0658826409
0.063,1173.0698023316
0.064,1173.07382483813
0.065,1173.07794723634
0.066,1173.0821665194
0.067,1173.08647961129
0.068,1173.09088337967
0.069,1173.09537464782
0.07,1173.09995020597
0.071,1173.10460682168
0.0720000000000001,1173.10934124957
0.0730000000000001,1173.11415024032
0.0740000000000001,1173.11903054891
0.0750000000000001,1173.12397894225
0.0760000000000001,1173.12899220609
0.0770000000000001,1173.13406713984
0.0780000000000001,1173.13920060126
0.0790000000000001,1173.1443894651
0.0800000000000001,1173.14963064893
0.0810000000000001,1173.15492111572
0.0820000000000001,1173.16025787717
0.0830000000000001,1173.16563799676
0.0840000000000001,1173.17105859256
0.0850000000000001,1173.17651683964
0.0860000000000001,1173.18200997211
0.0870000000000001,1173.18753528486
0.0880000000000001,1173.19309013504
0.0890000000000001,1173.19867194313
0.0900000000000001,1173.20427819393
0.0910000000000001,1173.20990643717
0.0920000000000001,1173.21555428792
0.0930000000000001,1173.22121942689
0.0940000000000001,1173.22689960045
0.0950000000000001,1173.23259262053
0.0960000000000001,1173.23829636436
0.0970000000000001,1173.24400877409
0.0980000000000001,1173.24972785626
0.0990000000000001,1173.25545168118
0.1,1173.26117838223
0.101,1173.26690615502
0.102,1173.27263325654
0.103,1173.2783580042
0.104,1173.28407877481
0.105,1173.28979400356
0.106,1173.29550218289
0.107,1173.30120186138
0.108,1173.30689164256
0.109,1173.31257018377
0.11,1173.31823619491
0.111,1173.32388843724
0.112,1173.32952572215
0.113,1173.33514690998
0.114,1173.34075090867
0.115,1173.34633667264
0.116,1173.35190320151
0.117,1173.35744953889
0.118,1173.36297477116
0.119,1173.36847802626
0.12,1173.37395847253
0.121,1173.37941531754
0.122,1173.38484780688
0.123,1173.39025522309
0.124,1173.39563688448
0.125,1173.40099214405
0.126,1173.40632038843
0.127,1173.41162103679
0.128,1173.41689353982
0.129,1173.42213737867
0.13,1173.42735206401
0.131,1173.43253713503
0.132,1173.43769215849
0.133,1173.44281672779
0.134,1173.44791046205
0.135,1173.45297300528
0.136,1173.45800402544
0.137,1173.46300321365
0.138,1173.46797028339
0.139,1173.47290496965
0.14,1173.47780702821
0.141,1173.48267606474
0.142,1173.4875120866
0.143,1173.49231489116
0.144,1173.49708430187
0.145,1173.50182016217
0.146,1173.50652233381
0.147,1173.51119069563
0.148,1173.51582514262
0.149,1173.52042558501
0.15,1173.5249919475
0.151,1173.52952416867
0.152,1173.53402220028
0.153,1173.53848600675
0.154,1173.54291556461
0.155,1173.54731086198
0.156,1173.5516718981
0.157,1173.55599868285
0.158,1173.56029123631
0.159,1173.56454958832
0.16,1173.56877377806
0.161,1173.57296385366
0.162,1173.5771198718
0.163,1173.58124189732
0.164,1173.58533000288
0.165,1173.58938426863
0.166,1173.59340478181
0.167,1173.59739163649
0.168,1173.60134493319
0.169,1173.60526477865
0.17,1173.60915128545
0.171,1173.61300457182
0.172,1173.6168247613
0.173,1173.62061198249
0.174,1173.62436636882
0.175,1173.62808805826
0.176,1173.63177719316
0.177,1173.63543391993
0.178,1173.63905838887
0.179,1173.64265075398
0.18,1173.64621117271
0.181,1173.64973980578
0.182,1173.65323681699
0.183,1173.65670237307
0.184,1173.66013664344
0.185,1173.6635398001
0.186,1173.66691201744
0.187,1173.67025347208
0.188,1173.67356434274
0.189,1173.67684481006
0.19,1173.68009505652
0.191,1173.68331526623
0.192,1173.68650562486
0.193,1173.6896663195
0.194,1173.69279753853
0.195,1173.69589947151
0.196,1173.69897230908
0.197,1173.70201624284
0.198,1173.70503146527
0.199,1173.70801816959
0.2,1173.71097654973
0.201,1173.71390680018
0.202,1173.71680911594
0.203,1173.71968369242
0.204,1173.72253072538
0.205,1173.72535041082
0.206,1173.72814294495
0.207,1173.73090852409
0.208,1173.73364734462
0.209,1173.73635960288
0.21,1173.73904549518
0.211,1173.74170521767
0.212,1173.74433896631
0.213,1173.74694693685
0.214,1173.74952932471
0.215,1173.752086325
0.216,1173.75461813242
0.217,1173.75712494125
0.218,1173.7596069453
0.219,1173.76206433784
0.22,1173.76449731162
0.221,1173.76690605877
0.222,1173.76929077083
0.223,1173.77165163864
0.224,1173.77398885237
0.225,1173.77630260148
0.226,1173.77859307466
0.227,1173.78086045983
0.228,1173.78310494411
0.229,1173.7853267138
0.23,1173.78752595435
0.231,1173.78970285032
0.232,1173.79185758539
0.233,1173.79399034234
0.234,1173.796101303
0.235,1173.79819064828
0.236,1173.80025855809
0.237,1173.80230521139
0.238,1173.80433078615
0.239,1173.80633545931
0.24,1173.80831940681
0.241,1173.81028280356
0.242,1173.81222582343
0.243,1173.81414863922
0.244,1173.8160514227
0.245,1173.81793434456
0.246,1173.8197975744
0.247,1173.82164128076
0.248,1173.82346563107
0.249,1173.8252707917
0.25,1173.82705692787
0.251,1173.82882420373
0.252,1173.83057278232
0.253,1173.83230282555
0.254,1173.83401449423
0.255,1173.83570794804
0.256,1173.83738334555
0.257,1173.8390408442
0.258,1173.84068060032
0.259,1173.8423027691
0.26,1173.84390750461
0.261,1173.8454946184
0.262,1173.84706468938
0.263,1173.84861783365
0.264,1173.85015418444
0.265,1173.85167387997
0.266,1173.85317706084
0.267,1173.85466386877
0.268,1173.85613444584
0.269,1173.85758893395
0.27,1173.85902747453
0.271,1173.86045020828
0.272,1173.86185727508
0.273,1173.86324881391
0.274,1173.86462496276
0.275,1173.86598585866
0.276,1173.86733163757
