"Time","Surface Average Rear Temp1 Monitor: Surface Average Rear Temp1 Monitor (K)"
0.001,1572.9999999999993
0.002,1572.9999999999993
0.003,1572.9999999999998
0.004,1573.0000000000018
0.005,1573.0000000000102
0.006,1573.0000000000423
0.007,1573.0000000001464
0.008,1573.0000000004475
0.009000000000000001,1573.0000000012335
0.010000000000000002,1573.0000000031116
0.011000000000000003,1573.0000000072737
0.012000000000000004,1573.0000000159077
0.013000000000000005,1573.000000032815
0.014000000000000005,1573.0000000642553
0.015000000000000006,1573.0000001200963
0.016000000000000007,1573.0000002152535
0.017000000000000008,1573.000000371477
0.01800000000000001,1573.0000006194384
0.01900000000000001,1573.000001001106
0.02000000000000001,1573.000001572353
0.02100000000000001,1573.0000024057288
0.023000000000000013,1573.000005249413
0.024000000000000014,1573.0000075134894
0.025000000000000015,1573.0000105523643
0.026000000000000016,1573.0000145624688
0.027000000000000017,1573.0000197715644
0.028000000000000018,1573.000026439992
0.02900000000000002,1573.0000348614183
0.03000000000000002,1573.000045363033
0.03100000000000002,1573.0000583051894
0.03200000000000002,1573.0000740804924
0.03300000000000002,1573.0000931123675
0.03400000000000002,1573.0001158531247
0.035000000000000024,1573.0001427816005
0.036000000000000025,1573.0001744004005
0.037000000000000026,1573.0002112328289
0.03800000000000003,1573.0002538195563
0.03900000000000003,1573.000302715312
0.04000000000000003,1573.0003584846852
0.04100000000000003,1573.000421698891
0.04200000000000003,1573.000492931984
0.04400000000000003,1573.0006617433614
0.04500000000000003,1573.0007604515724
0.046000000000000034,1573.0008694318878
0.047000000000000035,1573.00098922035
0.048000000000000036,1573.0011203361908
0.04900000000000004,1573.001263279283
0.05000000000000004,1573.0014185278608
0.05100000000000004,1573.0015865364887
0.05200000000000004,1573.001767734313
0.05300000000000004,1573.0019625235523
0.05400000000000004,1573.0021712782686
0.05500000000000004,1573.002394343375
0.05600000000000004,1573.0026320338777
0.057000000000000044,1573.0028846343573
0.058000000000000045,1573.00315239865
0.059000000000000045,1573.003435549734
0.060000000000000046,1573.0037342797923
0.06100000000000005,1573.0040487504477
0.06200000000000005,1573.0043790931416
0.06300000000000004,1573.004725409661
0.06500000000000004,1573.0054662305376
0.06600000000000004,1573.005860794719
0.06700000000000005,1573.0062714573746
0.06800000000000005,1573.0066981834593
0.06900000000000005,1573.0071409134334
0.07000000000000005,1573.007599564316
0.07100000000000005,1573.0080740307824
0.07200000000000005,1573.0085641862938
0.07300000000000005,1573.0090698842416
0.07400000000000005,1573.0095909590893
0.07500000000000005,1573.0101272275358
0.07600000000000005,1573.0106784896443
0.07700000000000005,1573.0112445299878
0.07800000000000006,1573.0118251187478
0.07900000000000006,1573.0124200128203
0.08000000000000006,1573.0130289568785
0.08100000000000006,1573.0136516844136
0.08200000000000006,1573.014287918749
0.08300000000000006,1573.0149373740146
0.08400000000000006,1573.015599756097
0.08500000000000006,1573.0162747635445
0.08700000000000006,1573.0176614172542
0.08800000000000006,1573.018372431611
0.08900000000000007,1573.0190948090878
0.09000000000000007,1573.0198282239173
0.09100000000000007,1573.0205723476847
0.09200000000000007,1573.0213268499808
0.09300000000000007,1573.0220913990106
0.09400000000000007,1573.0228656621855
0.09500000000000007,1573.0236493066589
0.09600000000000007,1573.0244419998498
0.09700000000000007,1573.0252434099145
0.09800000000000007,1573.026053206203
0.09900000000000007,1573.0268710596717
0.10000000000000007,1573.027696643278
0.10100000000000008,1573.0285296323357
0.10200000000000008,1573.029369704855
0.10300000000000008,1573.0302165418466
0.10400000000000008,1573.0310698276028
0.10500000000000008,1573.0319292499614
0.10600000000000008,1573.0327945005376
0.10800000000000008,1573.0345412729694
0.10900000000000008,1573.035422198784
0.11000000000000008,1573.036307761062
0.11100000000000008,1573.037197673142
0.11200000000000009,1573.0380916531383
0.11300000000000009,1573.0389894199077
0.11400000000000009,1573.039890706411
0.11500000000000009,1573.0407952454113
0.11600000000000009,1573.0417027748133
0.11700000000000009,1573.0426130378041
0.11800000000000009,1573.0435257828483
0.11900000000000009,1573.0444407636924
0.12000000000000009,1573.045357739368
0.1210000000000001,1573.0462764741992
0.1220000000000001,1573.0471967377969
0.1230000000000001,1573.048118305053
0.1240000000000001,1573.0490409561335
0.12500000000000008,1573.049964476446
0.12600000000000008,1573.0508886566206
0.12700000000000009,1573.051813292478
0.1290000000000001,1573.0536631402445
0.1300000000000001,1573.0545879693846
0.1310000000000001,1573.0555124885727
0.1320000000000001,1573.0564365189296
0.1330000000000001,1573.0573598864771
0.1340000000000001,1573.0582824220814
0.1350000000000001,1573.059203961385
0.1360000000000001,1573.0601243447443
0.1370000000000001,1573.0610434171592
0.1380000000000001,1573.061961028208
0.1390000000000001,1573.0628770319722
0.1400000000000001,1573.063791286964
0.1410000000000001,1573.0647036560558
0.1420000000000001,1573.0656140064011
0.1430000000000001,1573.0665222093642
0.1440000000000001,1573.0674281404372
0.1450000000000001,1573.0683316791703
0.1460000000000001,1573.0692327090885
0.1470000000000001,1573.0701311176213
0.1480000000000001,1573.0710267960153
0.1490000000000001,1573.0719196392722
0.1510000000000001,1573.073696418622
0.1520000000000001,1573.0745801627493
0.1530000000000001,1573.075460687651
0.1540000000000001,1573.0763379059058
0.1550000000000001,1573.0772117333818
0.1560000000000001,1573.0780820891684
0.1570000000000001,1573.0789488954883
0.1580000000000001,1573.0798120776406
0.1590000000000001,1573.0806715639208
0.16000000000000011,1573.081527285551
0.16100000000000012,1573.0823791766074
0.16200000000000012,1573.0832271739584
0.16300000000000012,1573.0840712171916
0.16400000000000012,1573.0849112485419
