"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1173
0.002,1173.00000000002
0.003,1173.00000000018
0.004,1173.00000000096
0.005,1173.00000000399
0.006,1173.00000001386
0.007,1173.00000004168
0.008,1173.00000011154
0.009,1173.0000002709
0.01,1173.00000060602
0.011,1173.00000126332
0.012,1173.00000247699
0.013,1173.00000460254
0.014,1173.00000815548
0.015,1173.00001385361
0.016,1173.00002266067
0.017,1173.00003582931
0.018,1173.00005494062
0.019,1173.00008193783
0.02,1173.00011915261
0.021,1173.00016932178
0.022,1173.00023559374
0.023,1173.00032152402
0.024,1173.00043105999
0.025,1173.00056851544
0.026,1173.00073853592
0.027,1173.00094605758
0.028,1173.00119625417
0.029,1173.00149448726
0.03,1173.00184624864
0.031,1173.0022571021
0.032,1173.00273262535
0.033,1173.00327835338
0.034,1173.00389972437
0.035,1173.00460202909
0.036,1173.00539036452
0.037,1173.00626959221
0.038,1173.00724430175
0.039,1173.0083187796
0.04,1173.00949698317
0.041,1173.0107825202
0.042,1173.0121786441
0.043,1173.01368821028
0.044,1173.01531370183
0.045,1173.0170572188
0.046,1173.01892047873
0.047,1173.02090482122
0.048,1173.02301121567
0.049,1173.02524027164
0.05,1173.02759225123
0.051,1173.03006708334
0.052,1173.03266437922
0.053,1173.03538344921
0.054,1173.03822332022
0.055,1173.04118275375
0.056,1173.04426026429
0.057,1173.04745413777
0.058,1173.05076244997
0.059,1173.05418308469
0.06,1173.05771375161
0.061,1173.06135200362
0.062,1173.06509525368
0.063,1173.06894079103
0.064,1173.07288579669
0.065,1173.07692735829
0.066,1173.08106248416
0.067,1173.08528811658
0.068,1173.08960115338
0.069,1173.09399843397
0.07,1173.09847677159
0.071,1173.10303296144
0.0720000000000001,1173.10766378858
0.0730000000000001,1173.11236603606
0.0740000000000001,1173.11713649278
0.0750000000000001,1173.1219719609
0.0760000000000001,1173.12686926259
0.0770000000000001,1173.13182524624
0.0780000000000001,1173.13683679206
0.0790000000000001,1173.14190081711
0.0800000000000001,1173.14701427984
