"Physical Time: Physical Time (s)","Surface Average Rear Temp1 Monitor: Surface Average of Temperature (K)"
0.001,1473
0.002,1473
0.003,1473.00000000001
0.004,1473.00000000004
0.005,1473.00000000019
0.006,1473.0000000007
0.007,1473.00000000226
0.008,1473.00000000654
0.009,1473.00000001709
0.01,1473.00000004106
0.011,1473.00000009171
0.012,1473.00000019217
0.013,1473.00000038071
0.014,1473.00000071765
0.015,1473.00000129399
0.016,1473.00000224196
0.017,1473.00000374711
0.018,1473.00000606186
0.019,1473.00000951997
0.02,1473.00001455157
0.021,1473.00002169812
0.022,1473.00003162673
0.023,1473.00004514319
0.024,1473.00006320335
0.025,1473.00008692199
0.026,1473.00011757937
0.027,1473.00015662467
0.028,1473.00020567645
0.029,1473.00026651992
0.03,1473.00034110126
0.031,1473.00043151896
0.032,1473.00054001257
0.033,1473.00066894909
0.034,1473.00082080736
0.035,1473.00099816078
0.036,1473.00120365891
0.037,1473.00144000816
0.038,1473.00170995349
0.039,1473.00201625421
0.04,1473.00236166861
0.041,1473.00274893362
0.042,1473.00318074641
0.043,1473.003659747
0.044,1473.00418850216
0.045,1473.00476949045
0.046,1473.00540508883
0.047,1473.0060975606
0.048,1473.00684904487
0.049,1473.00766154759
0.05,1473.00853693393
0.051,1473.00947692227
0.052,1473.01048307941
0.053,1473.01155681727
0.054,1473.01269939067
0.055,1473.01391189643
0.056,1473.01519527339
0.057,1473.01655030354
0.058,1473.01797761393
0.059,1473.01947767944
0.06,1473.02105082618
0.061,1473.0226972356
0.062,1473.02441694899
0.063,1473.0262098803
0.064,1473.02807579799
0.065,1473.03001435351
0.066,1473.03202508106
0.067,1473.03410740288
0.068,1473.03626063532
0.069,1473.03848399495
0.07,1473.04077660489
0.071,1473.04313750102
0.0720000000000001,1473.04556563821
0.0730000000000001,1473.04805989644
0.0740000000000001,1473.05061908672
0.0750000000000001,1473.05324195701
0.0760000000000001,1473.0559271979
0.0770000000000001,1473.05867344808
0.0780000000000001,1473.06147929976
0.0790000000000001,1473.06434330375
0.0800000000000001,1473.06726397438
0.0810000000000001,1473.07023979431
0.0820000000000001,1473.07326921897
0.0830000000000001,1473.07635068087
0.0840000000000001,1473.07948259372
0.0850000000000001,1473.08266335628
0.0860000000000001,1473.08589135601
0.0870000000000001,1473.08916497252
0.0880000000000001,1473.09248258082
0.0890000000000001,1473.09584255439
0.0900000000000001,1473.09924326797
0.0910000000000001,1473.10268310025
0.0920000000000001,1473.10616043635
0.0930000000000001,1473.10967367009
0.0940000000000001,1473.11322120615
0.0950000000000001,1473.116801462
0.0960000000000001,1473.1204128697
0.0970000000000001,1473.12405387758
0.0980000000000001,1473.12772295175
0.0990000000000001,1473.13141857742
0.1,1473.13513926021
0.101,1473.13888352724
0.102,1473.14264992811
0.103,1473.14643703585
0.104,1473.15024344764
0.105,1473.15406778557
0.106,1473.15790865465
0.107,1473.16176478296
0.108,1473.16563486423
0.109,1473.16951762262
0.11,1473.17341181066
0.111,1473.17731620869
0.112,1473.18122962475
0.113,1473.18515089454
0.114,1473.18907888143
0.115,1473.19301247637
0.116,1473.19695059791
0.117,1473.20089219201
0.118,1473.20483623193
0.119,1473.20878171809
0.12,1473.21272767783
0.121,1473.21667316518
0.122,1473.22061726063
0.123,1473.22455907084
0.124,1473.2284977283
0.125,1473.23243239109
0.126,1473.23636224244
0.127,1473.24028649046
0.128,1473.24420436774
0.129,1473.24811513094
0.13,1473.25201806046
0.131,1473.25591245998
0.132,1473.25979765611
0.133,1473.26367299792
0.134,1473.26753785656
0.135,1473.27139162481
0.136,1473.27523371668
0.137,1473.27906356698
0.138,1473.28288063084
0.139,1473.28668438337
0.14,1473.29047431914
0.141,1473.29424995181
0.142,1473.2980108137
0.143,1473.30175645532
0.144,1473.30548644499
0.145,1473.30920036843
0.146,1473.31289782831
0.147,1473.31657844384
0.148,1473.32024185041
0.149,1473.32388769915
0.15,1473.32751565652
0.151,1473.33112540397
0.152,1473.3347166375
0.153,1473.33828906732
0.154,1473.34184241745
0.155,1473.34537642538
0.156,1473.34889084166
0.157,1473.3523854296
0.158,1473.3558599649
0.159,1473.35931423527
0.16,1473.36274804016
0.161,1473.36616119036
0.162,1473.36955350776
0.163,1473.37292482493
0.164,1473.37627498489
0.165,1473.3796038408
0.166,1473.3829112556
0.167,1473.38619710178
0.168,1473.38946126109
0.169,1473.39270362421
0.17,1473.39592409055
0.171,1473.39912256792
0.172,1473.40229897232
0.173,1473.40545322764
0.174,1473.40858526546
0.175,1473.41169502477
0.176,1473.41478245175
0.177,1473.41784749954
0.178,1473.420890128
0.179,1473.42391030352
0.18,1473.42690799877
0.181,1473.42988319254
0.182,1473.43283586947
0.183,1473.43576601993
0.184,1473.43867363976
0.185,1473.44155873011
0.186,1473.44442129727
0.187,1473.44726135248
0.188,1473.45007891175
0.189,1473.45287399569
0.19,1473.45564662937
0.191,1473.45839684213
0.192,1473.46112466745
0.193,1473.46383014278
0.194,1473.46651330939
0.195,1473.46917421227
0.196,1473.47181289993
0.197,1473.47442942431
0.198,1473.47702384062
0.199,1473.47959620724
0.2,1473.48214658558
0.201,1473.48467503994
0.202,1473.48718163745
0.203,1473.4896664479
0.204,1473.49212954365
0.205,1473.49457099953
0.206,1473.49699089274
0.207,1473.49938930271
0.208,1473.50176631108
0.209,1473.5041220015
0.21,1473.50645645963
0.211,1473.50876977302
0.212,1473.511062031
0.213,1473.51333332461
0.214,1473.51558349265
0.215,1473.51781294106
0.216,1473.52002174443
0.217,1473.52220998881
0.218,1473.52437776549
0.219,1473.52652516941
0.22,1473.5286522982
0.221,1473.53075925162
0.222,1473.5328461312
0.223,1473.53491303987
0.224,1473.53696008185
0.225,1473.53898736242
0.226,1473.54099498785
0.227,1473.54298306528
0.228,1473.54495170266
0.229,1473.54690100865
0.23,1473.54883109258
0.231,1473.55074206441
0.232,1473.55263403463
0.233,1473.55450711424
0.234,1473.55636141471
0.235,1473.5581970479
0.236,1473.56001412608
0.237,1473.56181276181
0.238,1473.56359306797
0.239,1473.5653551577
0.24,1473.56709914432
0.241,1473.56882514139
0.242,1473.57053326258
0.243,1473.57222362168
0.244,1473.57389633261
0.245,1473.57555150931
0.246,1473.57718926575
0.247,1473.57880971592
0.248,1473.58041297379
0.249,1473.58199915326
0.25,1473.58356836818
0.251,1473.58512073228
0.252,1473.58665635918
0.253,1473.58817536237
0.254,1473.58967785516
0.255,1473.59116395067
0.256,1473.59263376184
0.257,1473.59408740138
0.258,1473.59552498174
0.259,1473.59694661514
0.26,1473.59835241352
0.261,1473.59974248852
0.262,1473.60111695147
0.263,1473.6024759134
0.264,1473.603819485
0.265,1473.6051477766
0.266,1473.60646089817
0.267,1473.60775895933
0.268,1473.6090420693
0.269,1473.61031033688
0.27,1473.61156387051
0.271,1473.61280277818
0.272,1473.61402716746
0.273,1473.61523714548
0.274,1473.61643281894
0.275,1473.61761429406
0.276,1473.61878167662
0.277,1473.61993507192
0.278,1473.62107458478
0.279,1473.62220031955
0.28,1473.62331238006
0.281,1473.62441086967
0.282,1473.62549589123
0.283,1473.62656754707
0.284,1473.62762593901
0.285,1473.62867116837
0.286,1473.62970333591
0.287,1473.63072254189
0.288,1473.63172888604
0.289,1473.63272246752
0.29,1473.63370338499
0.291,1473.63467173654
0.292,1473.63562761973
0.293,1473.63657113156
0.294,1473.63750236849
0.295,1473.63842142641
0.296,1473.63932840066
0.297,1473.64022338603
0.298,1473.64110647674
0.299,1473.64197776646
0.3,1473.64283734829
0.301,1473.64368531475
0.302,1473.64452175783
0.303,1473.64534676893
0.304,1473.64616043888
0.305,1473.64696285796
0.306,1473.64775411586
0.307,1473.64853430174
0.308,1473.64930350415
0.309,1473.65006181109
0.31,1473.65080930999
0.311,1473.65154608773
0.312,1473.65227223059
0.313,1473.65298782432
0.314,1473.65369295407
0.315,1473.65438770445
0.316,1473.65507215949
0.317,1473.65574640266
0.318,1473.65641051688
0.319,1473.6570645845
0.32,1473.6577086873
0.321,1473.65834290651
0.322,1473.65896732282
0.323,1473.65958201634
0.324,1473.66018706663
0.325,1473.66078255271
0.326,1473.66136855303
0.327,1473.66194514551
0.328,1473.66251240751
0.329,1473.66307041585
0.33,1473.6636192468
0.331,1473.66415897611
0.332,1473.66468967896
0.333,1473.66521143002
0.334,1473.6657243034
0.335,1473.66622837269
0.336,1473.66672371096
0.337,1473.66721039073
0.338,1473.667688484
0.339,1473.66815806226
0.34,1473.66861919647
0.341,1473.66907195705
0.342,1473.66951641395
0.343,1473.66995263656
0.344,1473.67038069378
0.345,1473.67080065401
0.346,1473.67121258512
0.347,1473.67161655449
0.348,1473.672012629
0.349,1473.67240087503
0.35,1473.67278135845
0.351,1473.67315414466
0.352,1473.67351929856
0.353,1473.67387688456
0.354,1473.67422696658
0.355,1473.67456960806
0.356,1473.67490487198
0.357,1473.67523282081
0.358,1473.67555351657
0.359,1473.67586702079
0.36,1473.67617339456
0.361,1473.67647269848
0.362,1473.67676499268
0.363,1473.67705033687
0.364,1473.67732879025
0.365,1473.67760041161
0.366,1473.67786525926
0.367,1473.67812339107
0.368,1473.67837486448
0.369,1473.67861973645
0.37,1473.67885806354
0.371,1473.67908990184
0.372,1473.67931530702
0.373,1473.67953433433
0.374,1473.67974703856
0.375,1473.67995347411
0.376,1473.68015369492
0.377,1473.68034775454
0.378,1473.68053570608
0.379,1473.68071760225
0.38,1473.68089349534
0.381,1473.68106343723
0.382,1473.6812274794
0.383,1473.68138567292
0.384,1473.68153806846
0.385,1473.68168471629
0.386,1473.68182566629
0.387,1473.68196096794
0.388,1473.68209067033
0.389,1473.68221482217
0.39,1473.68233347178
0.391,1473.68244666709
0.392,1473.68255445567
0.393,1473.68265688471
0.394,1473.682754001
0.395,1473.68284585098
0.396,1473.68293248073
0.397,1473.6830138179
0.398,1473.68309004712
0.399,1473.68316120863
0.4,1473.68322734378
0.401,1473.68328849409
0.402,1473.68334470132
0.403,1473.68339600745
0.404,1473.68344245455
0.405,1473.68348408463
0.406,1473.6835209396
0.407,1473.68355306117
0.408,1473.68358049082
0.409,1473.68360326977
0.41,1473.68362143897
0.411,1473.68363503907
0.412,1473.68364411042
0.413,1473.68364869309
0.414,1473.68364882682
0.415,1473.68364455105
0.416,1473.68363590492
0.417,1473.68362292726
0.418,1473.68360565661
0.419,1473.68358413117
0.42,1473.68355838888
0.421,1473.68352846734
0.422,1473.68349440389
0.423,1473.68345623553
0.424,1473.68341399899
0.425,1473.68336773072
0.426,1473.68331746683
0.427,1473.68326324319
0.428,1473.68320509536
0.429,1473.6831430586
0.43,1473.68307716792
0.431,1473.68300745801
0.432,1473.68293396331
0.433,1473.68285671797
0.434,1473.68277575587
0.435,1473.68269111061
0.436,1473.68260281551
0.437,1473.68251090364
0.438,1473.68241540778
0.439,1473.68231636048
0.44,1473.68221379397
0.441,1473.68210774029
0.442,1473.68199823115
0.443,1473.68188529805
0.444,1473.68176897221
0.445,1473.68164928461
0.446,1473.68152626597
0.447,1473.68139994677
0.448,1473.68127035722
0.449,1473.68113752731
0.45,1473.68100148677
0.451,1473.6808622651
0.452,1473.68071989154
0.453,1473.68057439511
0.454,1473.68042580459
0.455,1473.68027414852
0.456,1473.6801194552
0.457,1473.67996175272
0.458,1473.67980106893
0.459,1473.67963743145
0.46,1473.67947086766
0.461,1473.67930140475
0.462,1473.67912906966
0.463,1473.67895388913
0.464,1473.67877588965
0.465,1473.67859509753
0.466,1473.67841153884
0.467,1473.67822523946
0.468,1473.67803622502
0.469,1473.67784452097
0.47,1473.67765015255
0.471,1473.67745314478
0.472,1473.67725352248
0.473,1473.67705131028
0.474,1473.67684653259
0.475,1473.67663921362
