Physical Time: Physical Time (s),star
0.1365,1473.287808
0.137,1473.289768
0.1375,1473.291725
0.138,1473.293678
0.1385,1473.295628
0.139,1473.297575
0.1395,1473.299519
0.14,1473.301459
0.1405,1473.303396
0.141,1473.305329
0.1415,1473.307258
0.142,1473.309184
0.1425,1473.311106
0.143,1473.313024
0.1435,1473.314938
0.144,1473.316848
0.1445,1473.318755
0.145,1473.320657
0.1455,1473.322555
0.146,1473.324449
0.1465,1473.326339
0.147,1473.328225
0.1475,1473.330107
0.148,1473.331984
0.1485,1473.333857
0.149,1473.335726
0.1495,1473.33759
0.15,1473.33945
0.1505,1473.341305
0.151,1473.343156
0.1515,1473.345002
0.152,1473.346843
0.1525,1473.34868
0.153,1473.350512
0.1535,1473.35234
0.154,1473.354163
0.1545,1473.355981
0.155,1473.357794
0.1555,1473.359603
0.156,1473.361406
0.1565,1473.363205
0.157,1473.364999
0.1575,1473.366787
0.158,1473.368571
0.1585,1473.37035
0.159,1473.372124
0.1595,1473.373893
0.16,1473.375657
0.1605,1473.377415
0.161,1473.379169
0.1615,1473.380917
0.162,1473.38266
0.1625,1473.384398
0.163,1473.386131
0.1635,1473.387859
0.164,1473.389581
0.1645,1473.391298
0.165,1473.39301
0.1655,1473.394717
0.166,1473.396418
0.1665,1473.398114
0.167,1473.399805
0.1675,1473.40149
0.168,1473.40317
0.1685,1473.404844
0.169,1473.406514
0.1695,1473.408177
0.17,1473.409836
0.1705,1473.411489
0.171,1473.413136
0.1715,1473.414778
0.172,1473.416415
0.1725,1473.418046
0.173,1473.419671
0.1735,1473.421292
0.174,1473.422906
0.1745,1473.424515
0.175,1473.426119
0.1755,1473.427717
0.176,1473.42931
0.1765,1473.430897
0.177,1473.432478
0.1775,1473.434055
0.178,1473.435625
0.1785,1473.43719
0.179,1473.438749
0.1795,1473.440303
0.18,1473.441852
0.1805,1473.443394
0.181,1473.444932
0.1815,1473.446463
0.182,1473.447989
0.1825,1473.44951
0.183,1473.451025
0.1835,1473.452534
0.184,1473.454038
0.1845,1473.455536
0.185,1473.457029
0.1855,1473.458516
0.186,1473.459998
0.1865,1473.461474
0.187,1473.462944
0.1875,1473.464409
0.188,1473.465868
0.1885,1473.467322
0.189,1473.46877
0.1895,1473.470213
0.19,1473.47165
0.1905,1473.473081
0.191,1473.474508
0.1915,1473.475928
0.192,1473.477343
0.1925,1473.478752
0.193,1473.480156
0.1935,1473.481555
0.194,1473.482948
0.1945,1473.484335
0.195,1473.485717
0.1955,1473.487093
0.196,1473.488464
0.1965,1473.48983
0.197,1473.49119
0.1975,1473.492544
0.198,1473.493893
0.1985,1473.495237
0.199,1473.496575
0.1995,1473.497908
0.2,1473.499235
0.2005,1473.500557
0.201,1473.501873
0.2015,1473.503184
0.202,1473.50449
0.2025,1473.50579
0.203,1473.507085
0.2035,1473.508374
0.204,1473.509658
0.2045,1473.510937
0.205,1473.51221
0.2055,1473.513478
0.206,1473.514741
0.2065,1473.515998
0.207,1473.51725
0.2075,1473.518497
0.208,1473.519738
0.2085,1473.520975
0.209,1473.522205
0.2095,1473.523431
0.21,1473.524651
0.2105,1473.525867
0.211,1473.527077
0.2115,1473.528281
0.212,1473.529481
0.2125,1473.530675
0.213,1473.531864
0.2135,1473.533048
0.214,1473.534227
0.2145,1473.535401
0.215,1473.536569
0.2155,1473.537732
0.216,1473.538891
0.2165,1473.540044
0.217,1473.541192
0.2175,1473.542335
0.218,1473.543473
0.2185,1473.544605
0.219,1473.545733
0.2195,1473.546856
0.22,1473.547974
0.2205,1473.549086
0.221,1473.550194
0.2215,1473.551297
0.222,1473.552395
0.2225,1473.553487
0.223,1473.554575
0.2235,1473.555658
0.224,1473.556736
0.2245,1473.557809
0.225,1473.558877
0.2255,1473.559941
0.226,1473.560999
0.2265,1473.562053
0.227,1473.563101
0.2275,1473.564145
0.228,1473.565184
0.2285,1473.566219
0.229,1473.567248
0.2295,1473.568273
0.23,1473.569293
0.2305,1473.570308
0.231,1473.571319
0.2315,1473.572324
0.232,1473.573325
0.2325,1473.574322
0.233,1473.575313
0.2335,1473.5763
0.234,1473.577283
0.2345,1473.57826
0.235,1473.579233
0.2355,1473.580202
0.236,1473.581166
0.2365,1473.582125
0.237,1473.58308
0.2375,1473.58403
0.238,1473.584975
0.2385,1473.585916
0.239,1473.586853
0.2395,1473.587785
0.24,1473.588712
0.2405,1473.589635
0.241,1473.590554
0.2415,1473.591468
0.242,1473.592378
0.2425,1473.593283
0.243,1473.594184
0.2435,1473.59508
0.244,1473.595972
0.2445,1473.59686
0.245,1473.597743
0.2455,1473.598622
0.246,1473.599497
0.2465,1473.600367
0.247,1473.601233
0.2475,1473.602095
0.248,1473.602952
0.2485,1473.603806
0.249,1473.604655
0.2495,1473.605499
0.25,1473.60634
0.2505,1473.607176
0.251,1473.608008
0.2515,1473.608836
0.252,1473.60966
0.2525,1473.61048
0.253,1473.611295
0.2535,1473.612107
0.254,1473.612914
0.2545,1473.613717
0.255,1473.614516
0.2555,1473.615311
0.256,1473.616102
0.2565,1473.616889
0.257,1473.617672
0.2575,1473.618451
0.258,1473.619226
0.2585,1473.619997
0.259,1473.620764
0.2595,1473.621527
0.26,1473.622286
0.2605,1473.623041
0.261,1473.623793
0.2615,1473.62454
0.262,1473.625284
0.2625,1473.626023
0.263,1473.626759
0.2635,1473.627491
0.264,1473.628219
0.2645,1473.628943
0.265,1473.629663
0.2655,1473.63038
0.266,1473.631093
0.2665,1473.631802
0.267,1473.632507
0.2675,1473.633209
0.268,1473.633907
0.2685,1473.634601
0.269,1473.635291
0.2695,1473.635978
0.27,1473.636661
0.2705,1473.63734
0.271,1473.638016
0.2715,1473.638688
0.272,1473.639357
0.2725,1473.640022
