Physical Time: Physical Time (s),star,cowan,parker,rectangle,star/ana
0.0215,1473.0005300000,1473,1473,1473.00040080431,0.999999754
0.022,1473.0005920000,1473.000001,1473.000001,1473.00040059467,0.999999759
0.0225,1473.0006600000,1473.000001,1473.000001,1473.00040044927,0.999999765
0.023,1473.0007340000,1473.000001,1473.000001,1473.00040038617,0.999999772
0.0235,1473.0008140000,1473.000002,1473.000002,1473.00040042714,0.99999978
0.024,1473.0009000000,1473.000002,1473.000002,1473.00040059812,0.99999979
0.0245,1473.0009930000,1473.000003,1473.000003,1473.00040092959,0.9999998
0.025,1473.0010940000,1473.000004,1473.000004,1473.00040145711,0.999999812
0.0255,1473.0012020000,1473.000005,1473.000005,1473.00040222167,0.999999825
0.026,1473.0013180000,1473.000006,1473.000007,1473.00040327016,0.99999984
0.0265,1473.0014420000,1473.000008,1473.000008,1473.00040465574,0.999999857
0.027,1473.0015740000,1473.00001,1473.000011,1473.00040643817,0.999999875
0.0275,1473.0017160000,1473.000013,1473.000013,1473.00040868417,0.999999895
0.028,1473.0018660000,1473.000016,1473.000017,1473.00041146768,0.999999918
0.0285,1473.0020270000,1473.00002,1473.00002,1473.00041487011,0.999999942
0.029,1473.0021970000,1473.000024,1473.000025,1473.00041898051,0.999999968
0.0295,1473.0023770000,1473.00003,1473.00003,1473.00042389571,0.999999997
0.03,1473.0025680000,1473.000036,1473.000037,1473.00042972045,1.000000029
0.0305,1473.0027700000,1473.000043,1473.000044,1473.00043656735,1.000000063
0.031,1473.0029830000,1473.000052,1473.000053,1473.00044455694,1.0000001
0.0315,1473.0032080000,1473.000061,1473.000063,1473.00045381759,1.00000014
0.032,1473.0034440000,1473.000072,1473.000074,1473.00046448540,1.000000183
0.0325,1473.0036930000,1473.000085,1473.000087,1473.00047670400,1.000000229
0.033,1473.0039540000,1473.000099,1473.000102,1473.00049062439,1.000000278
0.0335,1473.0042290000,1473.000115,1473.000119,1473.00050640466,1.00000033
0.034,1473.0045160000,1473.000134,1473.000137,1473.00052420973,1.000000387
0.0345,1473.0048170000,1473.000154,1473.000158,1473.00054421096,1.000000447
0.035,1473.0051310000,1473.000177,1473.000182,1473.00056658587,1.00000051
0.0355,1473.0054600000,1473.000202,1473.000208,1473.00059151772,1.000000577
0.036,1473.0058030000,1473.00023,1473.000237,1473.00061919505,1.000000648
0.0365,1473.0061600000,1473.000261,1473.000269,1473.00064981134,1.000000724
0.037,1473.0065320000,1473.000295,1473.000304,1473.00068356444,1.000000803
0.0375,1473.0069200000,1473.000333,1473.000343,1473.00072065622,1.000000887
0.038,1473.0073220000,1473.000374,1473.000385,1473.00076129199,1.000000975
0.0385,1473.0077410000,1473.000419,1473.000432,1473.00080568007,1.000001067
0.039,1473.0081750000,1473.000467,1473.000482,1473.00085403127,1.000001164
0.0395,1473.0086250000,1473.00052,1473.000537,1473.00090655842,1.000001265
0.04,1473.0090910000,1473.000578,1473.000596,1473.00096347583,1.000001371
0.0405,1473.0095730000,1473.00064,1473.00066,1473.00102499886,1.000001482
0.041,1473.0100730000,1473.000706,1473.00073,1473.00109134339,1.000001597
0.0415,1473.0105890000,1473.000778,1473.000804,1473.00116272536,1.000001718
0.042,1473.0111220000,1473.000855,1473.000884,1473.00123936032,1.000001843
0.0425,1473.0116720000,1473.000938,1473.00097,1473.00132146293,1.000001974
0.043,1473.0122390000,1473.001026,1473.001061,1473.00140924657,1.000002109
0.0435,1473.0128240000,1473.00112,1473.001159,1473.00150292291,1.00000225
0.044,1473.0134270000,1473.00122,1473.001263,1473.00160270146,1.000002395
0.0445,1473.0140470000,1473.001326,1473.001374,1473.00170878924,1.000002547
0.045,1473.0146850000,1473.001439,1473.001492,1473.00182139034,1.000002703
0.0455,1473.0153410000,1473.001559,1473.001616,1473.00194070563,1.000002864
0.046,1473.0160140000,1473.001686,1473.001748,1473.00206693239,1.000003031
0.0465,1473.0167060000,1473.00182,1473.001887,1473.00220026401,1.000003204
0.047,1473.0174160000,1473.001961,1473.002035,1473.00234088966,1.000003382
0.0475,1473.0181450000,1473.002109,1473.002189,1473.00248899407,1.000003566
0.048,1473.0188910000,1473.002265,1473.002352,1473.00264475726,1.000003754
0.0485,1473.0196560000,1473.002429,1473.002524,1473.00280835427,1.000003949
0.049,1473.0204400000,1473.002601,1473.002703,1473.00297995499,1.000004149
0.0495,1473.0212410000,1473.002781,1473.002892,1473.00315972394,1.000004354
0.05,1473.0220610000,1473.00297,1473.003089,1473.00334782009,1.000004566
0.0505,1473.0229000000,1473.003167,1473.003295,1473.00354439674,1.000004782
0.051,1473.0237570000,1473.003372,1473.00351,1473.00374960133,1.000005005
0.0515,1473.0246330000,1473.003587,1473.003735,1473.00396357537,1.000005233
0.052,1473.0255270000,1473.00381,1473.003968,1473.00418645429,1.000005467
0.0525,1473.0264390000,1473.004042,1473.004212,1473.00441836738,1.000005706
0.053,1473.0273700000,1473.004284,1473.004465,1473.00465943773,1.000005952
0.0535,1473.0283190000,1473.004535,1473.004728,1473.00490978213,1.000006203
0.054,1473.0292860000,1473.004795,1473.005001,1473.00516951109,1.00000646
0.0545,1473.0302720000,1473.005064,1473.005284,1473.00543872875,1.000006722
0.055,1473.0312760000,1473.005343,1473.005578,1473.00571753292,1.00000699
0.0555,1473.0322980000,1473.005632,1473.005882,1473.00600601505,1.000007264
0.056,1473.0333390000,1473.005931,1473.006196,1473.00630426024,1.000007544
0.0565,1473.0343970000,1473.006239,1473.00652,1473.00661234728,1.000007829
0.057,1473.0354730000,1473.006558,1473.006855,1473.00693034868,1.00000812
0.0575,1473.0365670000,1473.006886,1473.007201,1473.00725833070,1.000008417
0.058,1473.0376790000,1473.007225,1473.007558,1473.00759635341,1.000008719
0.0585,1473.0388080000,1473.007573,1473.007925,1473.00794447074,1.000009027
0.059,1473.0399550000,1473.007932,1473.008304,1473.00830273059,1.00000934
0.0595,1473.0411200000,1473.008301,1473.008693,1473.00867117484,1.00000966
0.06,1473.0423010000,1473.00868,1473.009093,1473.00904983951,1.000009984
0.0605,1473.0435000000,1473.009069,1473.009505,1473.00943875478,1.000010315
0.061,1473.0447160000,1473.009468,1473.009927,1473.00983794514,1.000010651
0.0615,1473.0459490000,1473.009878,1473.01036,1473.01024742945,1.000010992
