Time,Parker,Cowen
0.0002,1473.0,1473.0
0.0004,1473.0,1473.0
0.0006,1473.0,1473.0
0.0008,1473.0,1473.0
0.001,1473.0,1473.0
0.0012,1473.0,1473.0
0.0014,1473.0,1473.0
0.0016,1473.0,1473.0
0.0018,1473.0,1473.0
0.002,1473.0,1473.0
0.0022,1473.0,1473.0
0.0024,1473.0,1473.0
0.0026,1473.0,1473.0
0.0028,1473.0,1473.0
0.003,1473.0,1473.0
0.0032,1473.0831508118408,1472.7942813991006
0.0034,1473.045491283292,1472.8808284618872
0.0036,1473.0248707054263,1472.931009042734
0.0038,1473.0135879482216,1472.9600847550264
0.004,1473.0074187959697,1472.9769208913572
0.0042,1473.0040479473187,1472.9866635671715
0.0044,1473.0022073258351,1472.9922979250541
0.0046,1473.0012029196935,1472.9955544004583
0.0048,1473.0006551698996,1472.997435429054
0.005,1473.0003566374335,1472.9985213404639
0.0052,1473.0001940279071,1472.9991478852241
0.0054,1473.0001055053153,1472.9995091918322
0.0056,1473.0000573410825,1472.99971743619
0.0058,1473.00003114923,1472.999837400368
0.006,1473.0000169132466,1472.9999064749643
0.0062,1473.000009179376,1472.9999462289736
0.0064,1473.0000049798232,1472.999969097944
0.0066,1473.0000027004562,1472.9999822478428
0.0068,1473.0000014638304,1472.9999898059878
0.006999999999999999,1473.000000793199,1472.9999941484048
0.0072,1473.0000004296537,1472.9999966422938
0.0074,1473.0000002326526,1472.9999980740104
0.0076,1473.0000001259375,1472.999998895638
0.0078,1473.0000000681507,1472.999999366976
0.008,1473.0000000368684,1472.9999996372649
0.0082,1473.0000000199402,1472.999999792202
0.0084,1473.0000000107816,1472.9999998809783
0.0086,1473.000000005828,1472.999999931821
0.0088,1473.0000000031496,1472.999999960922
0.009000000000000001,1473.0000000017026,1472.9999999775646
0.0092,1473.0000000009193,1472.9999999870722
0.0094,1473.0000000004973,1472.9999999924946
0.0096,1473.0000000002703,1472.9999999955808
0.0098,1473.0000000001492,1472.9999999973306
0.01,1473.0000000000864,1472.9999999983181
0.0102,1473.0000000000587,1472.9999999988745
0.0104,1473.0000000000557,1472.99999999919
0.0106,1473.0000000000737,1472.999999999377
0.0108,1473.0000000001182,1472.9999999995068
0.011000000000000001,1473.0000000002044,1472.9999999996285
0.0112,1473.000000000353,1472.9999999997888
0.0114,1473.0000000006044,1473.0000000000346
0.0116,1473.0000000010182,1473.000000000435
0.0118,1473.0000000016855,1473.0000000010837
0.012,1473.0000000027455,1473.0000000021175
0.0122,1473.0000000043995,1473.0000000037408
0.0124,1473.0000000069435,1473.0000000062437
0.0126,1473.000000010799,1473.0000000100454
0.0128,1473.0000000165637,1473.0000000157354
0.013000000000000001,1473.0000000250702,1473.0000000241375
0.0132,1473.0000000374675,1473.000000036386
0.0134,1473.000000055321,1473.0000000540279
0.0136,1473.0000000807415,1473.0000000791476
0.0138,1473.000000116547,1473.0000001145283
0.013999999999999999,1473.0000001664591,1473.0000001638423
0.0142,1473.000000235347,1473.0000002318968
0.0144,1473.000000329525,1473.0000003249215
0.0146,1473.0000004571116,1473.0000004509268
0.0148,1473.0000006284547,1473.000000620119
0.015,1473.000000856644,1473.000000845406
0.0152,1473.0000011581071,1473.0000011429836
0.0154,1473.0000015533114,1473.0000015330277
0.0156,1473.000002067581,1473.0000020404957
0.0158,1473.0000027320402,1473.0000026960522
0.016,1473.00000358469,1473.0000035371315
0.0162,1473.0000046716455,1473.0000046091498
0.0164,1473.0000060485336,1473.00000596688
0.0166,1473.000007782074,1473.0000076759989
0.0168,1473.0000099518445,1473.0000098148282
0.017,1473.0000126522652,1473.0000124762735
0.0172,1473.0000159947883,1473.0000157699749
0.0174,1473.0000201103317,1473.0000198246928
0.0176,1473.0000251519455,1473.0000247909215
0.0178,1473.0000312977422,1473.000030843757
0.018000000000000002,1473.0000387540872,1473.0000381860252
0.0182,1473.0000477590684,1473.0000470516736
0.0184,1473.0000585862463,1473.000057709446
0.0186,1473.000071548697,1473.0000704668328
0.0188,1473.0000870033582,1473.0000856743186
0.019,1473.0001053556637,1473.0001037299194
0.0192,1473.0001270645046,1473.0001250840164
0.0194,1473.0001526474766,1473.0001502444918
0.0196,1473.0001826864532,1473.0001797821585
0.0198,1473.0002178334553,1473.0002143364923
0.02,1473.0002588168327,1473.0002546216538
0.0202,1473.0003064477403,1473.0003014328045
0.0204,1473.000361626911,1473.0003556527004
0.0206,1473.000425351716,1473.0004182585692
0.0208,1473.0004987235066,1473.0004903292486
0.021,1473.0005829552126,1473.0005730525822
0.0212,1473.0006793792065,1473.0006677330603
0.0214,1473.000789455406,1473.0007757996902
0.0216,1473.0009147796038,1473.0008988140826
0.0218,1473.0010570920072,1473.001038478738
0.022000000000000002,1473.00121828597,1473.0011966455154
0.0222,1473.0014004169068,1473.0013753242654
0.0224,1473.0016057113555,1473.001576691608
0.0226,1473.0018365761816,1473.0018030998388
0.0228,1473.0020956078915,1473.0020570859338
0.023,1473.0023856020453,1473.0023413806437
0.0232,1473.002709562739,1473.0026589176466
0.0234,1473.0030707121302,1473.0030128427377
0.0236,1473.0034724999969,1473.0034065230416
0.0238,1473.0039186132908,1473.003843556209
0.024,1473.0044129856767,1473.0043277795926
0.0242,1473.00495980702,1473.0048632793666
0.0244,1473.0055635328097,1473.005454399569
0.0246,1473.0062288934919,1473.00610575105
0.0248,1473.0069609036814,1473.0068222202976
0.025,1473.0077648712452,1473.0076089781223
0.0252,1473.008646406221,1473.0084714881748
0.0254,1473.0096114295563,1473.0094155152817
0.0256,1473.0106661816453,1473.0104471335758
0.0258,1473.0118172306454,1473.0115727343996
0.026000000000000002,1473.0130714805466,1473.0127990339636
0.0262,1473.014436178988,1473.014133080748
0.0264,1473.0159189247856,1473.0155822626148
0.0266,1473.017527675172,1473.0171543136346
0.0268,1473.0192707527194,1473.0188573205937
0.027000000000000003,1473.0211568519353,1473.020699729176
0.0272,1473.0231950455177,1473.0226903498078
0.0274,1473.0253947902524,1473.024838363147
0.0276,1473.0277659325468,1473.027153325209
0.0278,1473.0303187135778,1473.0296451721176
0.027999999999999997,1473.0330637740597,1473.032324224472
0.0282,1473.0360121586054,1473.035201191318
0.0284,1473.0391753196884,1473.038287173724
0.0286,1473.0425651211856,1473.041593667943
0.0288,1473.046193841506,1473.045132568173
0.028999999999999998,1473.0500741762933,1473.0489161688865
0.0292,1473.0542192406983,1473.0529571667569
0.0294,1473.0586425712272,1473.057268662147
0.0296,1473.0633581271481,1473.061864160186
0.0298,1473.0683802914725,1473.0667575714147
0.03,1473.0737238714976,1473.0719632120135
0.0302,1473.0794040989185,1473.0774958036009
0.0304,1473.0854366295093,1473.0833704726192
0.0306,1473.0918375423746,1473.0896027492986
0.0308,1473.0986233387778,1473.0962085662097
0.031,1473.1058109405476,1473.1032042564084
0.0312,1473.1134176880712,1473.1106065511747
0.0314,1473.121461337872,1473.1184325773568
0.0316,1473.12996005979,1473.1266998543224
0.0318,1473.1389324337626,1473.1354262905288
0.032,1473.148397446215,1473.1446301797137
0.0322,1473.158374486072,1473.1543301967215
0.0324,1473.168883340394,1473.164545392968
0.0326,1473.1799441896537,1473.1752951915594
0.0328,1473.191577602656,1473.1865993820654
0.033,1473.203804531114,1473.19847811497
0.0332,1473.2166463038939,1473.2109518957948
0.0334,1473.2301246209304,1473.2240415789195
0.0336,1473.2442615468415,1473.237768361102
0.0338,1473.2590795042283,1473.2521537747114
0.034,1473.2746012666967,1473.2672196806861
0.0342,1473.2908499515954,1473.2829882612302
0.0344,1473.3078490124901,1473.2994820122526
0.0346,1473.3256222313812,1473.316723735574
0.0348,1473.3441937106807,1473.334736530898
0.035,1473.363587864962,1473.3535437875717
0.0352,1473.3838294124848,1473.3731691761361
0.0354,1473.4049433665216,1473.3936366396922
0.0356,1473.4269550264867,1473.4149703850817
0.0358,1473.4498899688817,1473.437194873901
0.036000000000000004,1473.4737740380804,1473.460334813357
0.0362,1473.4986333369459,1473.4844151469845
0.0364,1473.5244942173076,1473.509461045225
0.0366,1473.551383270309,1473.5354978958883
0.0368,1473.5793273166234,1473.5625512945014
0.037000000000000005,1473.6083533965689,1473.5906470345656
0.0372,1473.638488760122,1473.6198110977198
0.0374,1473.6697608568406,1473.6500696438322
0.0376,1473.7021973257156,1473.681449001026
0.0378,1473.7358259849532,1473.7139756556526
0.038,1473.7706748217065,1473.7476762422157
0.0382,1473.8067719817593,1473.7825775332692
0.0384,1473.8441457591764,1473.818706429286
0.0386,1473.882824585931,1473.8560899485135
0.0388,1473.9228370215196,1473.8947552168277
0.039,1473.9642117425674,1473.9347294575864
0.0392,1474.0069775324444,1473.9760399815034
0.0394,1474.0511632708876,1474.018714176537
0.0396,1474.096797923653,1474.0627794978154
0.0398,1474.143910532192,1474.1082634575996
0.04,1474.1925302033726,1474.15519361529
0.0402,1474.2426860992414,1474.2035975674917
0.0404,1474.2944074268457,1474.2535029381381
0.0406,1474.3477234281133,1474.304937368686
0.0408,1474.4026633698027,1474.357928508383
0.040999999999999995,1474.4592565335286,1474.4125040046226
0.0412,1474.5175322058722,1474.4686914933793
0.0414,1474.5775196685759,1474.5265185897454
0.0416,1474.6392481888345,1474.5860128785644
0.0418,1474.702747009688,1474.6472019051705
0.042,1474.7680453405171,1474.7101131662366
0.0422,1474.835172347653,1474.7747741007415
0.0424,1474.9041571450985,1474.841212081054
0.0426,1474.9750287853751,1474.9094544041413
0.0428,1475.0478162504892,1474.9795282829089
0.043,1475.122548443031,1475.0514608376684
0.0432,1475.1992541774057,1475.1252790877456
0.0434,1475.2779621712002,1475.2010099432264
0.0436,1475.3587010366903,1475.2786801968402
0.0438,1475.4414992724894,1475.3583165159994
0.044000000000000004,1475.5263852553476,1475.439945434976
0.0442,1475.6133872320947,1475.5235933472368
0.0444,1475.7025333117374,1475.6092864979262
0.0446,1475.7938514577074,1475.697050976505
0.0448,1475.8873694802696,1475.7869127095487
0.045,1475.9831150290831,1475.8788974537013
0.0452,1476.081115585923,1475.9730307887892
0.0454,1476.1813984575656,1476.0693381110966
0.0456,1476.2839907688315,1476.1678446268036
0.0458,1476.388919455793,1476.2685753455848
0.046,1476.4962112591488,1476.3715550743773
0.0462,1476.6058927177578,1476.476808411305
0.0464,1476.717990162343,1476.5843597397736
0.0466,1476.83252970936,1476.6942332227302
0.0468,1476.9495372550289,1476.8064527970853
0.047,1477.0690384695388,1476.9210421683006
0.0472,1477.1910587914117,1477.0380248051438
0.0474,1477.315623422036,1477.1574239346048
0.0476,1477.4427573203668,1477.2792625369784
0.0478,1477.5724851977893,1477.4035633411129
0.048,1477.7048315131494,1477.5303488198113
0.0482,1477.8398204679463,1477.6596411854105
0.0484,1477.977476001691,1477.7914623855067
0.0486,1478.1178217874274,1477.9258340988508
0.0488,1478.2608812274127,1478.0627777313996
0.049,1478.4066774489615,1478.2023144125242
0.0492,1478.5552333004487,1478.3444649913758
0.0494,1478.706571347469,1478.4892500334095
0.0496,1478.8607138691575,1478.6366898170568
0.0498,1479.0176828546616,1478.786804330556
0.05,1479.17749999977,1478.9396132689296
0.0502,1479.3401867036928,1479.0951360311133
0.0504,1479.5057640659945,1479.2533917172318
0.0506,1479.6742528836753,1479.414399126019
0.0508,1479.8456736483981,1479.5781767523858
0.051,1480.020046543869,1479.7447427851262
0.0512,1480.197391443349,1479.9141151047659
0.0514,1480.3777279073227,1480.0863112815496
0.0516,1480.561075181295,1480.2613485735608
0.0518,1480.747452193735,1480.4392439249839
0.052000000000000005,1480.9368775541498,1480.620013964488
0.0522,1481.1293695512973,1480.8036750037509
0.0524,1481.3249461515302,1480.9902430361028
0.0526,1481.5236249972659,1481.179733735304
0.0528,1481.7254234055933,1481.3721624544378
0.053,1481.9303583669976,1481.5675442249346
0.0532,1482.13844654421,1481.765893755704
0.0534,1482.3497042711856,1481.9672254323964
0.0536,1482.5641475521918,1482.1715533167692
0.0538,1482.7817920610194,1482.3788911461734
0.054000000000000006,1483.0026531403091,1482.589252333144
0.0542,1483.2267458009871,1482.802649965106
0.0544,1483.4540847218143,1483.0190968041795
0.0546,1483.6846842490438,1483.2386052870932
0.0548,1483.9185583961823,1483.4611875251985
0.055,1484.155720843859,1483.6868553045813
0.0552,1484.3961849397917,1483.9156200862722
0.0554,1484.6399636988563,1484.1474930065542
0.0556,1484.8870698032538,1484.3824848773556
0.0558,1485.137515602767,1484.6206061867426
0.055999999999999994,1485.391313115117,1484.8618670994933
0.0562,1485.6484740264057,1485.1062774577608
0.0564,1485.9090096916489,1485.3538467818194
0.0566,1486.1729311353945,1485.6045842708932
0.0568,1486.4402490524249,1485.858498804064
0.057,1486.7109738085446,1486.1155989412553
0.0572,1486.9851154414414,1486.3758929242945
0.0574,1487.2626836616328,1486.6393886780459
0.0576,1487.5436878534817,1486.9060938116154
0.0578,1487.8281370762888,1487.1760156196262
0.057999999999999996,1488.1160400654583,1487.449161083558
0.0582,1488.407405233728,1487.725536873156
0.0584,1488.7022406724718,1488.0051493478975
0.0586,1489.0005541530668,1488.288004558526
0.0588,1489.3023531283204,1488.5741082486381
0.059000000000000004,1489.6076447339642,1488.863465856333
0.0592,1489.9164357902036,1489.156082515914
0.0594,1490.228732803328,1489.4519630596446
0.0596,1490.5445419673745,1489.751112019558
0.0598,1490.8638691658487,1490.0535336293126
0.06,1491.1867199734927,1490.3592318261
0.0602,1491.5130996581104,1490.6682102525958
0.0604,1491.8430131824362,1490.980472258958
0.0606,1492.1764652060508,1491.2960209048638
0.0608,1492.5134600873478,1491.6148589615948
0.061,1492.8540018855351,1491.9369889141547
0.0612,1493.1980943626877,1492.2624129634264
0.0614,1493.54574098583,1492.5911330283718
0.0616,1493.8969449290682,1492.923150748255
0.0618,1494.2517090757515,1493.2584674849106
0.062,1494.6100360206703,1493.597084325034
0.0622,1494.9719280722916,1493.9390020825076
0.0624,1495.337387255023,1494.284221300756
0.0626,1495.7064153115105,1494.6327422551217
0.0628,1496.0790137049623,1494.984564955277
0.063,1496.4551836215053,1495.339689147651
0.0632,1496.8349259725655,1495.6981143178868
0.0634,1497.2182413972714,1496.059839693315
0.0636,1497.6051302648866,1496.4248642454502
0.0638,1497.9955926772623,1496.793186692511
0.064,1498.3896284713098,1497.1648055019468
0.0642,1498.7872372214954,1497.5397188929946
0.0644,1499.1884182423528,1497.9179248392416
0.0646,1499.5931705910143,1498.299421071207
0.0648,1500.0014930697569,1498.6842050789362
0.065,1500.4133842285646,1499.0722741146062
0.0652,1500.8288423677052,1499.4636251951433
0.0654,1501.247865540319,1499.8582551048491
0.0656,1501.6704515550214,1500.2561603980391
0.0658,1502.0965979785126,1500.6573374016841
0.066,1502.5263021382025,1501.0617822180636
0.0662,1502.9595611248399,1501.4694907274213
0.0664,1503.3963717951515,1501.8804585906287
0.0666,1503.8367307744884,1502.2946812518505
0.0668,1504.2806344594765,1502.712153941216
0.067,1504.7280790206735,1503.1328716774879
0.0672,1505.1790604052305,1503.5568292707392
0.0674,1505.633574339556,1503.9840213250266
0.0676,1506.0916163319803,1504.4144422410634
0.0678,1506.553181675427,1504.8480862188962
0.068,1507.0182654500793,1505.284947260573
0.0682,1507.4868625260506,1505.7250191728153
0.0684,1507.9589675660513,1506.1682955696829
0.0686,1508.434575028057,1506.614769875237
0.0688,1508.9136791679716,1507.0644353262014
0.069,1509.3962740422903,1507.5172849746086
0.0692,1509.882353510756,1507.9733116904551
0.0694,1510.3719112390158,1508.4325081643374
0.0696,1510.8649407012667,1508.8948669100864
0.0698,1511.3614351829015,1509.3603802673979
0.07,1511.8613877831456,1509.829040404445
0.0702,1512.3647914176854,1510.3008393204939
0.0704,1512.8716388212972,1510.7757688484992
0.0706,1513.3819225504565,1511.2538206576994
0.0708,1513.8956349859486,1511.7349862561948
0.071,1514.412768335468,1512.2192569935198
0.0712,1514.9333146362046,1512.7066240631991
0.0714,1515.457265757425,1513.197078505299
0.0716,1515.9846134030422,1513.6906112089605
0.0718,1516.515349114171,1514.1872129149222
0.07200000000000001,1517.0494642716778,1514.6868742180332
0.0722,1517.5869500987158,1515.189585569749
0.0724,1518.1277976632468,1515.695337280615
0.0726,1518.6719978805554,1516.2041195227375
0.0728,1519.2195415157441,1516.7159223322383
0.073,1519.7704191862215,1517.2307356116976
0.0732,1520.324621364173,1517.7485491325795
0.0734,1520.882138379019,1518.2693525376426
0.0736,1521.4429604198597,1518.7931353433391
0.0738,1522.0070775379027,1519.3198869421901
0.07400000000000001,1522.5744796488818,1519.8495966051557
0.0742,1523.1451565354535,1520.382253483979
0.0744,1523.7190978495842,1520.9178466135186
0.0746,1524.2962931149177,1521.456364914066
0.0748,1524.8767317291308,1521.9977971936412
0.075,1525.4604029662692,1522.5421321502758
0.0752,1526.0472959790707,1523.0893583742768
0.0754,1526.6373998012689,1523.6394643504716
0.0756,1527.2307033498823,1524.19243846044
0.0758,1527.8271954274865,1524.7482689847225
0.076,1528.4268647244683,1525.3069441050163
0.0762,1529.0296998212643,1525.8684519063493
